No,yield20,,SampleName,ODI_HOMO_1,ODI_HOMO,ODI_LUMO,ODI_LUMO_Add1,ODI_Mean,ODI_Std,AtomNum,Weight,HOMO,HOMO_number,LUMO,HOMO_LUMO_Gap,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_2,Mol_Size_L,Length_Ratio,Len_Div_Diameter,MPP,SDP,Dipole_Moment,Quadrupole_Moment,Octopole_Moment,Volume,Density,ESPmin,ESPmax,Overall_Surface_Area,Pos_Surface_Area,Neg_Surface_Area,Overall_Average,Pos_Average,Neg_Average,Overall_Variance,Nu,Pi,MPI,Nonpolar_Area,Polar_Area,ALIEmin,ALIEmax,ALIE_Ave,ALIE_Var,LEAmin,LEAmax,LEA_Ave,LEA_Var
L42,0,42.00 ,CoH2L42,13.05,23.59,3.25,3.59,10.87,8.330870303,75,567.54749,-0.225741,774,-0.056321,0.16942,58,7.607,8.768,12.708,14.863,0.409009604,0.976929144,1.557164,6.381227,11.214553,16.434997,124.9663,4751.16885,1.3386,-71.22477,34.75425,1867.84394,1068.19024,799.6537,-0.0015756,0.02107946,-0.03183861,0.00112586,0.13011426,0.02594225,0.69894135,203.53,319.52,6.40087,13.60442,0.3930518,0.00287919,-32.88176,-11.4772,-0.7177714,0.026282
,,43.00 ,CoH2L43,13.03,24.53,9.72,8.24,13.88,6.388665745,63,542.29704,-0.212652,713,-0.05608,0.156572,55,7.443,10.117,12.838,14.541,0.387801365,0.976823861,1.73524,7.825912,11.299086,44.923781,419.1445,4024.27263,1.5101,-71.64002,30.2834,1665.30493,1017.67759,647.62733,-0.00168844,0.01933993,-0.03473228,0.00139362,0.10111991,0.02574333,0.6891535,211.52,254.81,6.37599,14.52906,0.40039342,0.00367633,-38.46311,-10.64049,-0.7216336,0.025078
,,44.00 ,CoH2L44,14.66,22.99,10.54,8.57,14.19,5.535517139,66,556.32365,-0.212186,735,-0.053759,0.158427,54,7.661,10.126,13.242,15.145,0.39324384,0.988447983,1.759211,7.532285,10.429934,40.27488,361.2546,4157.78794,1.4994,-67.71459,29.07481,1693.88414,990.76498,703.11916,-0.00235422,0.01868332,-0.03199821,0.00109308,0.10442579,0.02469022,0.65879398,204.17,270.16,6.3256,14.23692,0.40103622,0.00317262,-37.81167,-11.35625,-0.7270217,0.024115
,,45.00 ,CoH2L45,28.04,23.98,10.86,7.48,17.59,8.62466811,67,590.33998,-0.212029,781,-0.05483,0.157199,62,9.171,9.778,13.345,18.222,0.440730439,0.993457638,1.685368,7.100399,10.775907,38.330671,329.4796,4372.53912,1.5129,-69.31359,29.66327,1842.56365,1046.71687,795.84678,-0.00182728,0.01896775,-0.0291774,0.00096453,0.10343138,0.02367168,0.63613518,213.61,302.36,6.4081,14.71338,0.40019889,0.00341789,-39.27856,-11.44394,-0.7448921,0.028936
,,46.00 ,CoH2L46,27.06,25.37,10.86,7.33,17.655,8.671114404,64,576.31336,-0.211567,759,-0.053745,0.157822,60,7.716,9.272,11.507,14.359,0.40864591,0.930469155,1.592984,6.632955,11.064548,41.357231,459.6066,4220.03942,1.5303,-73.62653,29.11299,1700.93482,1028.56107,672.37375,-0.00199143,0.01927904,-0.03452983,0.0012818,0.08455787,0.02577089,0.68865544,199.04,277.27,6.32679,15.10493,0.40147652,0.00367763,-40.22367,-11.17029,-0.7415211,0.027739
,,47.00 ,CoH2L47,55.42,26.36,10.22,8.96,25.24,18.72648926,60,502.27616,-0.202538,661,-0.043027,0.159511,29,6.758,9.516,12.965,13.496,0.375128554,0.998520272,1.73627,7.441805,10.544549,40.732952,374.6675,3768.0216,1.4937,-67.62805,29.4436,1489.94466,936.65568,553.28897,-0.00018258,0.01983902,-0.03407689,0.0011937,0.09070082,0.02517374,0.68371966,167.34,249.88,6.36386,13.9082,0.39727955,0.00359158,-31.93546,-10.48998,-0.7161718,0.022873
L48,0,48.00 ,CoH2L48,12.91,24.27,7.76,6.89,12.9575,6.92465658,63,498.46263,-0.224553,679,-0.073655,0.150898,48,7.604,11.651,12.184,14.673,0.381037706,0.964821147,1.955938,8.763477,11.36631,41.377744,410.7673,4004.59369,1.3948,-71.20225,29.85226,1711.4726,1015.97969,695.49291,-0.00305576,0.01779618,-0.03351637,0.00129753,0.09630536,0.02491615,0.65809134,232.94,246.32,6.38113,14.50073,0.39653392,0.00338592,-39.93475,-11.64181,-0.7458641,0.034096
L49,0,49.00 ,CoH2L49,11.25,25.53,10.27,9.86,14.2275,6.545014801,59,441.41286,-0.219499,597,-0.046881,0.172618,54,7.434,8.569,12.476,14.787,0.41267582,0.994552058,1.524545,6.282862,10.489147,41.121146,288.0312,3610.36177,1.3701,-71.08105,29.85414,1524.07739,958.6559,565.4215,-0.00114487,0.01921365,-0.03566217,0.0013278,0.08609476,0.02562696,0.68888149,183.59,243.2,6.3889,14.67262,0.39709327,0.00364576,-40.15118,-10.738,-0.7096818,0.027268
,,50.00 ,CoH2L50,12.61,25.62,8.1,4.91,12.81,7.88559129,66,490.48366,-0.227678,672,-0.043522,0.184156,56,7.501,10.125,10.8,14.086,0.402330696,0.938941474,1.951101,8.533011,10.789022,35.526765,315.4656,4052.34842,1.3563,-70.12224,29.40805,1682.57243,1034.87121,647.70122,-0.00223936,0.01778944,-0.03424057,0.00123313,0.08446991,0.02470004,0.65639989,218.15,253.02,6.34005,14.57967,0.3979459,0.00310148,-41.55981,-11.01385,-0.7256246,0.026764
L51,1,51.00 ,CoH2L51,12.92,26.27,7.58,4.76,12.8825,8.266167114,60,462.43042,-0.229177,628,-0.048104,0.181073,55,7.53,10.613,11.261,14.991,0.40664587,0.995418327,1.783508,8.001156,11.511369,36.930632,295.1964,3776.16887,1.3723,-69.34914,29.04771,1570.5718,965.56923,605.00257,-0.00097276,0.01924353,-0.03323747,0.0012597,0.0939416,0.02486927,0.67032954,200.19,239.61,6.41707,14.27244,0.39679157,0.00346474,-40.89663,-10.7857,-0.7301123,0.030403
,,52.00 ,CoH2L52,62.02,18.81,13.57,22.34,29.185,19.21236646,42,392.1393,-0.209406,507,-0.052762,0.156644,39,7.478,7.844,8.119,14.806,0.481198609,0.98997058,1.381106,6.168636,8.749227,32.937512,241.8525,2792.71058,1.5735,-55.34303,32.61026,1259.51298,785.97526,473.53772,0.00102612,0.02199282,-0.03377429,0.00095752,0.13733838,0.02617976,0.71898687,130.63,222.07,6.67546,14.84861,0.39675665,0.00475814,-39.46868,-10.75135,-0.7167556,0.03296
L53,0,53.00 ,CoH2L53,13.74,26.71,6.39,6.44,13.32,8.288965557,59,470.47374,-0.226691,620,-0.050479,0.176212,48,7.49,8.456,12.373,14.966,0.418103087,0.999065421,1.360786,6.138606,13.406896,43.128895,445.8662,3787.78833,1.3919,-66.34769,56.14838,1570.88316,955.05691,615.82625,0.00041271,0.02557813,-0.03861518,0.00138514,0.16383212,0.03060166,0.8350898,149.94,289.95,6.53157,13.7972,0.39377951,0.003408,-36.81837,-10.63582,-0.7054657,0.028414
L54,0,54.00 ,CoH2L54,14.9,25.05,5.74,6.7,13.0975,7.764857935,66,532.5433,-0.227839,710,-0.047924,0.179915,61,8.087,11.526,11.993,15.132,0.391503454,0.935575615,1.951403,9.64202,10.770022,46.37378,466.9099,4274.29738,1.3962,-72.77591,45.55242,1784.6293,1028.71836,755.91094,-0.00321751,0.02004058,-0.03486942,0.00122246,0.09686553,0.02695416,0.71624702,197.11,302.64,6.39132,13.85965,0.39562786,0.00310322,-34.67845,-11.34469,-0.732658,0.027089
L55,0,55.00 ,CoH2L55,19.59,9.44,6.38,5.48,10.2225,5.603982401,90,657.73094,-0.164749,929,-0.029443,0.135306,71,10.177,7.796,16.527,17.273,0.415256275,0.848629262,1.061103,5.337296,4.095968,24.229192,330.9314,5468.90389,1.3477,-138.00186,-17.86499,2384.85164,0,2384.85164,-0.08873124,0,-0.08873124,0.001867,0,0.03397492,2.41449976,0,667.83,5.44607,13.93425,0.37919019,0.00286657,-39.60926,-13.0362,-0.7782968,0.042117
L56,0,56.00 ,CoH2L56,4.55,7.56,18.68,5.42,9.0525,5.665330418,59,476.41394,-0.20019,641,-0.107969,0.092221,54,7.731,7.993,12.1,14.664,0.421900624,0.9483896,1.316412,5.501777,5.066083,36.601322,382.0899,3705.43148,1.4408,-42.11879,61.05507,1585.60863,859.35741,726.25121,-0.00143209,0.01811097,-0.02455697,0.00038091,0.22262509,0.02120623,0.57316451,172.48,271.54,7.20576,13.82974,0.39179746,0.0023231,-36.84579,-10.83068,-0.7573383,0.04163
L57,1,57.00 ,CoH2L57,14.09,26.62,9.04,7.03,14.195,7.620743074,57,448.4038,-0.230206,606,-0.061492,0.168714,52,7.761,10.116,10.694,15.493,0.426769138,0.998131684,1.822398,7.345862,11.488987,39.841691,285.78,3638.40754,1.381,-69.20611,30.36336,1574.75654,952.81713,621.93941,-0.00174446,0.0194576,-0.03422623,0.00127074,0.09423134,0.02569733,0.68818603,193.16,247.81,6.44014,14.65069,0.39640704,0.00357379,-40.46671,-11.47699,-0.7291207,0.029864
L58,1,58.00 ,CoH2L58,10.87,26.51,9.33,7.12,13.4575,7.6528275,61,478.42983,-0.223793,646,-0.063269,0.160524,54,7.469,10.41,13.318,14.519,0.379611473,0.97195073,1.677216,7.988021,12.692383,47.46833,470.962,3844.32298,1.3946,-74.12044,34.38483,1619.57851,1002.69732,616.88119,-0.00129985,0.01991582,-0.03578444,0.00145524,0.09358961,0.0262897,0.70640803,199.08,254.45,6.37791,15.2287,0.39862323,0.00383868,-40.11081,-10.90653,-0.7353627,0.036767
L59,1,59.00 ,CoH2L59,14.14,26.87,9.06,10.54,15.1525,7.012821739,60,516.40181,-0.230699,676,-0.073852,0.156847,55,7.455,10.396,13.159,14.458,0.380343567,0.969684775,1.676138,7.796924,10.241654,55.618711,386.8436,3850.23689,1.503,-67.58865,31.93925,1626.57016,1038.99249,587.57767,0.00181699,0.02092118,-0.03196428,0.00126448,0.09710548,0.02444868,0.67784535,188.93,266.55,6.44354,16.40024,0.41196034,0.00524525,-43.14609,-10.83037,-0.8001237,0.070484
L60,0,60.00 ,CoH2L60,14.06,26.77,9.12,7.07,14.255,7.659237886,57,448.4038,-0.229917,606,-0.063727,0.16619,47,8.188,9.152,11.273,16.226,0.442716433,0.990840254,1.780909,7.018954,11.310489,39.372345,299.8604,3648.85683,1.3771,-69.18336,27.85682,1600.34454,971.86934,628.4752,-0.0016974,0.01891623,-0.03357416,0.0012827,0.09141766,0.02507441,0.67137505,203.79,244.35,6.45193,14.45381,0.39613592,0.00369521,-39.59739,-11.72203,-0.7281118,0.030554
L61,0,61.00 ,CoH2L61,13.79,27.05,9.11,7.16,14.2775,7.75783918,57,448.4038,-0.230362,606,-0.064489,0.165873,47,8.211,10.586,11.733,16.41,0.423713496,0.999269273,1.8394,8.055393,11.562765,40.217846,278.1728,3663.57676,1.3715,-70.33047,29.32035,1627.66285,945.01844,682.64441,-0.00174354,0.01996057,-0.03178961,0.00127786,0.09442019,0.02523941,0.67815365,208.15,247.64,6.44625,14.69209,0.39539689,0.00369046,-39.52401,-11.59713,-0.7236094,0.031467
L62,0,62.00 ,CoH2L62,13.63,27.12,9.06,7.24,14.2625,7.779731277,61,474.44116,-0.230152,645,-0.064101,0.166051,50,8.449,9.718,11.09,16.765,0.446198068,0.992129246,1.795198,7.447349,11.274273,37.051782,270.1216,3846.83678,1.3821,-69.67878,27.28837,1678.52425,971.73464,706.78961,-0.00210199,0.01872939,-0.03074216,0.00124314,0.09648038,0.02418904,0.64729627,227.84,242.19,6.45688,14.56091,0.39561,0.00359389,-39.71451,-11.57507,-0.7278435,0.029909
L63,0,63.00 ,CoH2L63,14.54,26.45,9.15,7.08,14.305,7.522148962,55,468.39351,-0.229546,630,-0.066519,0.163027,49,7.824,10.775,11.855,15.546,0.407219195,0.993481595,1.977004,7.809914,11.427665,33.56096,332.4615,3693.01287,1.4213,-74.77,29.47864,1635.31823,932.53964,702.77859,-0.0040797,0.01991326,-0.03591674,0.0014108,0.08935985,0.02756384,0.72901371,195.81,262.12,6.4182,14.93891,0.39658587,0.00400573,-39.50019,-11.59083,-0.7468658,0.032828
L64,0,64.00 ,CoH2L64,13.8,26.91,9.09,7.21,14.2525,7.691964557,54,434.37719,-0.23031,584,-0.064872,0.165438,44,7.586,9.265,11.226,15.061,0.423632988,0.992683891,1.806432,7.003768,11.421401,39.931982,290.2925,3499.06258,1.3911,-70.06586,28.40114,1541.64204,919.23016,622.41188,-0.00177613,0.01973075,-0.03353929,0.00130141,0.0951999,0.02568951,0.68860358,189.52,242.18,6.45862,14.52054,0.39653484,0.00381567,-39.78851,-11.73286,-0.7302387,0.031263
L65,0,65.00 ,CoH2L65,12.01,26.01,8.64,6.3,13.24,7.64704845,67,614.42583,-0.227834,786,-0.063844,0.16399,55,8.445,12.368,13.605,16.524,0.388827447,0.978330373,2.148769,7.995864,11.760749,39.39546,715.519,4317.82876,1.5946,-62.89265,38.16913,1914.25881,1144.02672,770.23208,0.00313705,0.02273503,-0.02597184,0.00098331,0.17165475,0.02354077,0.65409121,249.3,286.75,6.49776,16.33114,0.42567646,0.00537484,-43.11872,-11.60295,-0.8676109,0.090422
L66,0,66.00 ,CoH2L66,15.39,26.62,8.64,6.3,14.2375,7.889716012,66,652.39782,-0.234875,816,-0.078076,0.156799,47,8.127,10.396,14.384,16.034,0.392855393,0.98646487,1.806281,8.05494,8.464148,37.562879,746.6463,4303.9804,1.6986,-60.74156,36.39781,1838.05141,1188.43272,649.61869,0.00698214,0.02421219,-0.02453906,0.00104369,0.16373714,0.02290947,0.66199088,231.71,283,6.5178,16.41753,0.43794127,0.00644655,-43.10831,-10.80894,-0.9233734,0.106984
L67,0,67.00 ,CoH2L67,14.64,26.57,8.55,6.26,14.005,7.874396802,63,584.39981,-0.233865,746,-0.065516,0.168349,43,8.478,10.633,13.053,16.378,0.408795927,0.965911772,1.799512,8.039594,10.676539,37.774709,600.2417,4097.17134,1.5983,-62.25625,33.57006,1807.58262,1116.53555,691.04707,0.00401446,0.02293008,-0.02654781,0.00100466,0.15441735,0.02353789,0.66159452,228.41,277.77,6.50965,16.33028,0.42511803,0.00560128,-43.09952,-11.40843,-0.8666298,0.090198
L68,0,68.00 ,CoH2L68,6.65,22.16,4.34,3.79,9.235,7.53901353,81,683.62308,-0.214937,934,-0.06316,0.151777,68,8.145,11.686,12.253,15.726,0.39647044,0.965377532,2.456812,8.978154,11.69272,47.531815,656.8455,5334.96422,1.4359,-70.03377,21.78827,2034.60849,1134.18104,900.42745,-0.00255711,0.01722582,-0.02747575,0.00091107,0.08236139,0.02215016,0.59217375,266.31,303.44,6.50732,13.76456,0.39860209,0.00291536,-36.10308,-11.98694,-0.7544679,0.029312
L69,1,69.00 ,CoH2L69,6.2,25.84,5.76,4.4,10.55,8.852587192,96,683.78821,-0.222874,972,-0.035802,0.187072,67,9.259,8.873,12.259,17.413,0.451757686,0.940328329,1.660897,6.47111,9.892988,47.691707,363.8032,5703.43219,1.3435,-74.3073,29.48448,2179.43047,1153.52274,1025.90774,-0.0049279,0.01868327,-0.03147612,0.00121699,0.12304621,0.02547741,0.67226148,281.94,328.37,6.23655,15.20264,0.39568068,0.00294604,-42.07525,-11.75491,-0.7338906,0.030649
L70,1,70.00 ,CoH2L70,20.39,26.33,5.69,6.46,14.7175,8.898166595,94,659.76674,-0.220062,938,-0.035862,0.1842,64,9.422,10.538,11.922,18.418,0.450560204,0.977393335,1.968728,8.079339,10.074478,36.916893,252.2608,5623.74264,1.3147,-84.97722,31.50976,2218.16072,1270.72438,947.43634,-0.0065458,0.01703814,-0.03817713,0.0016689,0.09441942,0.02772326,0.70932385,316.86,304.29,6.14701,14.60208,0.39417629,0.00322369,-41.8932,-11.95828,-0.7277545,0.028976
L71,1,71.00 ,CoH2L71,8.67,26.23,3.97,2.67,10.385,9.416457667,134,964.15145,-0.222009,1386,-0.039229,0.18278,68,9.886,10.123,17.095,17.678,0.393754455,0.894092656,1.815907,7.662744,11.037648,55.715458,620.4983,8084.359,1.3364,-84.07347,28.77616,2994.52401,1657.5945,1336.92951,-0.00496023,0.01514746,-0.02989078,0.00125313,0.07386347,0.02268401,0.59129616,441.44,397.11,6.13823,13.76939,0.39577223,0.00258608,-38.8963,-11.81184,-0.7534478,0.028906
,,72.00 ,CoH2L72,23.95,27.1,7.48,8.73,16.815,8.792026217,48,393.34556,-0.223296,533,-0.036801,0.186495,35,7.345,7.921,10.442,14.094,0.434236066,0.959428182,1.39867,5.524388,11.637739,26.263092,198.0752,3081.0107,1.4306,-80.89279,31.55987,1421.42664,836.4827,584.94395,-0.00551294,0.02513862,-0.04934534,0.00188841,0.09898319,0.03634326,0.95512358,131.48,266.56,6.25293,15.33674,0.4009249,0.00533422,-40.19564,-11.40571,-0.7243563,0.034566
L73,1,73.00 ,CoH2L73,19.26,26.28,6.02,5.54,14.275,8.851772421,68,545.53792,-0.224616,757,-0.038892,0.185724,65,9.009,7.67,10.056,17.988,0.503668029,0.998334998,1.398779,5.149343,11.924835,49.622804,341.0615,4333.55103,1.4107,-81.81137,31.64564,1876.04326,1086.62188,789.42138,-0.00425074,0.02220111,-0.04066116,0.00165206,0.09924782,0.03084905,0.81549595,198.58,326.76,6.28532,14.51573,0.39978186,0.00405561,-40.60622,-11.99639,-0.7490111,0.034893
L74,1,74.00 ,CoH2L74,23.52,27.26,8.39,9.16,17.0825,8.416479,56,423.41468,-0.223443,582,-0.037758,0.185685,49,7.317,8.452,11.004,14.056,0.419431845,0.960502938,1.583664,5.932265,10.96496,28.346778,214.8626,3458.97027,1.3717,-79.29464,30.30249,1530.41113,949.43756,580.97356,-0.00435787,0.02227182,-0.04787658,0.00179014,0.08039866,0.03320833,0.87054338,143.45,285.11,6.24963,15.266,0.39830554,0.00463823,-41.16354,-11.58123,-0.7124888,0.029477
L75,1,75.00 ,CoH2L75,19.93,26.64,3.95,3.84,13.59,9.981109658,76,575.60703,-0.224602,806,-0.038499,0.186103,72,9.124,8.729,9.755,18.108,0.494862265,0.992327926,1.567579,6.273468,11.234068,51.877309,405.5774,4707.21822,1.3703,-80.58921,31.04158,1968.13858,1171.90524,796.23334,-0.00392458,0.02022696,-0.0394711,0.00155274,0.08445626,0.02894945,0.76225615,219.13,332,6.27263,14.47623,0.39758825,0.00368617,-41.92385,-11.88496,-0.7418827,0.032774
L76,1,76.00 ,CoH2L76,14.76,24.59,5.59,6.59,12.8825,7.63817182,118,771.97968,-0.220545,1114,-0.0346,0.185945,109,9.261,10.244,12.715,18.398,0.444858186,0.993305259,2.006957,7.906943,10.270999,46.494512,340.6375,6772.8942,1.2773,-81.46651,30.05707,2400.92011,1553.78814,847.13197,-0.00122315,0.01535319,-0.03162706,0.00142501,0.08707184,0.02148683,0.57402966,391.63,280.7,6.20274,14.57661,0.39874801,0.00225917,-42.13808,-12.03529,-0.7232524,0.026212
L77,1,77.00 ,CoH2L77,23.83,27.54,6.71,5.8,15.97,9.808427499,50,395.36144,-0.224135,538,-0.03676,0.187375,43,7.405,8.144,10.131,14.204,0.437328735,0.959081702,1.438218,5.872337,10.784083,26.645732,191.3865,3164.57571,1.4,-78.85229,29.90499,1447.27392,879.51462,567.7593,-0.00468893,0.02362531,-0.04855044,0.00178106,0.08616956,0.03459947,0.90895078,133.35,271.92,6.28576,15.27072,0.39876876,0.00497627,-41.09016,-11.29191,-0.7156305,0.032732
L78,1,78.00 ,CoH2L78,20.09,27.11,6.52,5.85,14.8925,9.057412365,70,547.5538,-0.224885,762,-0.039344,0.185541,65,9.14,10.108,12.339,17.983,0.44479347,0.983752735,2.001251,7.692198,10.883794,48.623876,295.0494,4451.5122,1.3784,-79.14656,27.45409,1999.13096,1190.2233,808.90766,-0.00351676,0.01892812,-0.03654205,0.00157658,0.06899855,0.02689084,0.70899913,251.55,308.27,6.30525,14.19765,0.39618998,0.00366329,-42.03013,-11.30297,-0.7462911,0.034942
L79,1,79.00 ,CoH2L79,19.11,26.7,5.04,3.91,13.69,9.60608401,70,547.5538,-0.225241,762,-0.038799,0.186442,66,9.083,7.935,9.833,18.07,0.504213405,0.994715402,1.409868,5.409592,11.136395,50.459904,365.0623,4415.97437,1.3895,-80.26425,31.10763,1902.80625,1127.8473,774.95896,-0.00364573,0.02139252,-0.04008549,0.00157233,0.09040643,0.02984545,0.78928351,202.77,330.07,6.30472,14.82801,0.39821144,0.00383652,-41.43096,-11.9837,-0.7419781,0.034237
L80,1,80.00 ,CoH2L80,22.27,26.94,6.66,5.2,15.2675,9.496392407,90,699.74616,-0.226547,986,-0.0414,0.185147,80,9.468,8.816,14.62,18.674,0.443457611,0.986163921,1.730613,6.456805,11.44298,55.948674,432.9301,5668.86369,1.3832,-78.6463,25.2093,2372.55498,1367.00084,1005.55414,-0.00383166,0.01739134,-0.03268329,0.0012781,0.06394138,0.02465117,0.64960348,302.06,362.32,6.32928,13.76387,0.39743096,0.00326731,-41.62552,-11.42165,-0.7535268,0.030845
L81,0,81.00 ,CoH2L81,22.49,26.79,7,7.38,15.915,8.857478479,56,423.41468,-0.226191,582,-0.039283,0.186908,49,9.743,6.984,9.852,19.468,0.536249449,0.99907626,1.099393,4.758266,10.709463,39.938292,269.6169,3461.83773,1.3706,-70.09384,29.04122,1594.06931,989.56145,604.50786,0.00023705,0.02213275,-0.03560557,0.00127555,0.09895474,0.02718525,0.74129133,159.09,287.29,6.39795,14.93265,0.39829721,0.004206,-40.43026,-11.21029,-0.7291972,0.036389
L82,1,82.00 ,CoH2L82,21.68,26.87,7.12,5.2,15.2175,9.266397291,80,623.64998,-0.225482,874,-0.04,0.185482,75,9.499,9.657,10.436,18.946,0.485309562,0.99726287,1.761433,6.906566,11.574641,66.057249,334.8228,5035.72285,1.3878,-79.25058,31.03511,2064.16886,1248.55329,815.61557,-0.00248768,0.02062181,-0.03786395,0.00151173,0.08191188,0.0280314,0.74653615,231.55,346.48,6.29874,13.99942,0.39706309,0.0036339,-42.3877,-11.47826,-0.7508094,0.034619
L83,1,83.00 ,CoH2L83,15.65,26.63,3.65,4.89,12.705,9.295777267,100,775.84233,-0.222349,1098,-0.038492,0.183857,90,9.059,10.822,13.411,17.492,0.41922109,0.965448725,2.088483,8.217441,11.064028,49.769136,596.9309,6274.99665,1.3855,-84.02412,29.96854,2502.88356,1378.02,1124.86355,-0.00566748,0.01765001,-0.0342327,0.00147678,0.07172833,0.02613764,0.68307972,322.3,378.57,6.19843,13.78148,0.39625475,0.00323349,-33.95162,-12.04755,-0.7634271,0.030404
L84,1,84.00 ,CoH2L84,19.36,26.34,4.87,5.6,14.0425,9.150339816,70,547.5538,-0.222772,762,-0.037252,0.18552,53,7.593,9.917,10.557,14.523,0.414978427,0.956341367,2.029009,8.11594,11.327258,41.64753,280.4475,4409.82791,1.3914,-83.34528,31.29144,1765.38769,1037.89248,727.49521,-0.00478433,0.02163462,-0.04247534,0.00178265,0.09198277,0.03131031,0.82240509,203.04,291.32,6.20424,14.55501,0.39725138,0.00408437,-41.83886,-11.69873,-0.7381376,0.032588
