,,SampleName,ODI_HOMO_1,ODI_HOMO,ODI_LUMO,ODI_LUMO_Add1,ODI_Mean,ODI_Std,AtomNum,Weight,HOMO,HOMO_number,LUMO,HOMO_LUMO_Gap,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_2,Mol_Size_L,Length_Ratio,Len_Div_Diameter,MPP,SDP,Dipole_Moment,Quadrupole_Moment,Octopole_Moment,Volume,Density,ESPmin,ESPmax,Overall_Surface_Area,Pos_Surface_Area,Neg_Surface_Area,Overall_Average,Pos_Average,Neg_Average,Overall_Variance,Nu,Pi,MPI,Nonpolar_Area,Polar_Area,ALIEmin,ALIEmax,ALIE_Ave,ALIE_Var,LEAmin,LEAmax,LEA_Ave,LEA_Var
42.00 ,,L42,13.26,22.68,9.03,4.69,12.415,6.656164436,72,506.59841,-0.21291,135,-0.005244,0.207666,69,7.642,10.155,12.234,15.202,0.40440531,0.994634912,1.971838,7.395943,3.591501,6.947032,137.6165,4409.07396,1.2875,-34.94493,24.86906,1811.41117,1052.37303,759.03814,-2.26E-05,0.01333164,-0.01853772,0.00023537,0.18197285,0.01551682,0.42213433,303.31,203.94,6.54988,13.64766,0.3944587,0.00226827,-33.8218,-12.88467,-0.7495999,0.03083
43.00 ,,L43,61.43,45.66,11.19,6.96,31.31,22.97212332,60,481.34796,-0.200691,121,-0.020386,0.180305,55,8.117,7.823,13.353,15.96,0.42977165,0.983121843,1.341451,5.466961,0.947911,18.190519,228.5744,3744.52662,1.4405,-44.612,17.58826,1604.3644,860.15121,744.21319,-0.00229224,0.01119738,-0.01788336,0.00024889,0.15193923,0.01455797,0.38908988,282.17,167.1,6.85324,14.17068,0.40566983,0.001745,-36.53094,-13.0939,-0.7522358,0.025731
44.00 ,,L44,61.45,45.4,11.13,6.86,31.21,22.97793833,63,495.37458,-0.200696,125,-0.020515,0.180182,54,8.091,7.845,13.377,15.965,0.429316697,0.986590038,1.362291,5.432509,1.021052,17.921992,229.8097,3888.23079,1.4277,-43.43404,17.59159,1652.52147,864.59677,787.9247,-0.00218025,0.01127018,-0.01693953,0.00022546,0.16205676,0.01416573,0.38023376,295.86,166.89,6.8539,14.01551,0.40509934,0.00163928,-35.9911,-13.10743,-0.7489445,0.025157
45.00 ,,L45,61.94,43.81,10.67,6.75,30.7925,23.03572701,64,529.3909,-0.201702,133,-0.022714,0.178989,60,9.121,8.871,13.43,18.094,0.447926724,0.991886855,1.557552,6.564029,1.297021,18.025849,208.3489,4086.34894,1.4517,-42.36904,17.00408,1782.67523,911.82016,870.85508,-0.00229448,0.0120369,-0.01730001,0.00021782,0.15965095,0.0147534,0.39750346,303.53,195.67,6.86693,14.24792,0.4052149,0.00189129,-36.5369,-13.10488,-0.7713303,0.028223
46.00 ,,L46,61.51,44.45,11.81,7.19,31.24,22.62025862,61,515.36429,-0.201984,129,-0.023113,0.178871,59,8.567,7.915,13.037,16.662,0.442973361,0.972452434,1.340071,5.605693,1.455845,22.754118,289.0884,3927.08168,1.4706,-44.94823,20.51939,1689.18599,844.96335,844.22264,-0.00252107,0.0130228,-0.01807858,0.00024155,0.17082605,0.01565732,0.42312567,267.08,205.94,6.87144,14.53444,0.40524553,0.00194402,-36.56745,-13.10554,-0.7760527,0.029097
47.00 ,,L47,59.34,50.42,10.88,7.9,32.135,22.98675434,57,441.32708,-0.195173,111,-0.016991,0.178182,52,7.15,8.86,11.935,13.438,0.392545205,0.93972028,1.454786,6.334183,1.077455,12.276277,225.8973,3487.42151,1.4181,-33.28763,17.29417,1448.22,808.38984,639.83017,-0.0008355,0.01057916,-0.01525728,0.00015893,0.19699103,0.01275684,0.34411452,275.72,129.82,7.01359,13.70071,0.40395835,0.00168779,-32.69426,-13.1035,-0.7462535,0.021879
48.00 ,,L48,7.22,14.72,8.11,6.2,9.0625,3.33553875,60,437.51355,-0.205886,116,-0.055036,0.15085,53,7.785,10.306,12.475,15.069,0.398124174,0.967822736,1.789962,7.81419,2.245504,14.594812,208.5467,3722.37015,1.3171,-46.22134,18.78293,1654.3613,807.18536,847.17594,-0.0038876,0.01157044,-0.01861595,0.00024883,0.16268028,0.01535048,0.41302401,276.72,186.55,6.85093,14.17064,0.40112951,0.00163302,-40.78328,-13.07767,-0.7785714,0.03734
49.00 ,,L49,6.29,19.88,9.13,6.99,10.5725,5.474588455,56,380.46378,-0.190297,102,-0.021183,0.169114,54,7.228,8.412,11.251,14.255,0.420278318,0.986095739,1.370851,5.87378,2.036415,15.929715,90.6273,3300.10311,1.2919,-51.48275,16.30457,1401.41206,753.41297,647.99909,-0.002177,0.01026306,-0.01664076,0.00027659,0.13455843,0.01350018,0.35951806,268.22,124.21,6.72665,14.0628,0.40370709,0.00150839,-40.59876,-13.09645,-0.7372801,0.029331
50.00 ,,L50,12.06,17.04,7.19,6.96,10.8125,4.132259521,63,429.53458,-0.210638,115,-0.021045,0.189593,61,8.948,8.281,11.35,17.501,0.471318539,0.977928029,1.493775,5.854503,2.91082,15.391447,253.2894,3776.3707,1.2746,-43.43957,19.07629,1658.80542,783.63598,875.16944,-0.00264456,0.01197403,-0.0157342,0.00018432,0.20289597,0.01393467,0.3798127,293.21,171.3,6.97139,13.9139,0.40271798,0.00140684,-41.87897,-13.1104,-0.7537514,0.030219
51.00 ,,L51,16.61,16.88,7.28,6.03,11.7,5.06521964,57,401.48134,-0.213663,107,-0.020214,0.193449,55,8.796,8.135,11.239,17.472,0.474189871,0.993178718,1.453815,5.931333,1.04081,16.480986,327.2267,3500.32917,1.2853,-43.7567,17.6815,1599.1687,772.27514,826.89356,-0.00299201,0.01169155,-0.01670568,0.00022137,0.17208668,0.01434991,0.38869406,281.88,165.93,6.92273,13.81617,0.40162521,0.00169286,-40.61427,-12.9688,-0.7610558,0.034123
52.00 ,,L52,62.42,58.34,16.93,4.41,35.525,25.28726211,39,331.19023,-0.20189,81,-0.018228,0.183662,39,7.563,7.144,7.437,14.976,0.506682004,0.9900833,1.141439,4.949961,1.715046,16.08381,203.2233,2442.21443,1.5196,-46.90567,21.03929,1161.82068,630.26851,531.55218,-0.00148306,0.01362357,-0.01939519,0.00029488,0.16819626,0.01642589,0.44257099,178.9,146.44,8.31277,14.42363,0.41352636,0.00167115,-38.75246,-12.74201,-0.7727068,0.03268
53.00 ,,L53,23.61,19.2,10.97,6.46,15.06,6.72551485,56,409.52466,-0.213782,109,-0.018554,0.195228,49,7.828,8.093,12.276,14.608,0.417645882,0.933060807,1.303242,5.464278,4.763721,17.555052,66.7127,3496.74624,1.3124,-54.55534,25.49249,1528.80122,838.12509,690.67613,-0.0012236,0.01356981,-0.01917519,0.00041774,0.12150713,0.01624563,0.43816272,248.88,179.23,6.82827,13.704,0.39927806,0.00178949,-37.90065,-12.92882,-0.7416979,0.029786
54.00 ,,L54,10.88,10.71,7.45,5.49,8.6325,2.271611487,63,471.59422,-0.211911,125,-0.02654,0.185371,55,7.726,8.775,11.49,15.233,0.429122767,0.985827077,1.605844,6.408861,4.689234,20.419947,387.0261,3960.71626,1.3343,-52.38915,28.50642,1680.02149,899.69684,780.32466,-0.00143266,0.0126875,-0.01771289,0.00038343,0.13354392,0.01516367,0.40876008,296.25,174.2,7.07982,13.74332,0.40113913,0.00158188,-37.34849,-13.09929,-0.7578656,0.031155
55.00 ,,L55,8.59,9.23,6.02,4.17,7.0025,2.029179329,87,596.78187,-0.143437,160,-0.015252,0.128185,85,10.158,8.235,16.717,16.779,0.402075196,0.825900768,1.162405,5.730818,5.766912,5.335817,306.3825,5193.75847,1.2876,-185.21435,-14.963,2372.07081,0,2372.07081,-0.09088862,0,-0.09088862,0.00204486,0,0.03352314,2.47320523,0,664.25,6.60992,13.64075,0.38228839,0.00167566,-39.4115,-13.28844,-0.8175751,0.054044
56.00 ,,L56,4.91,5.15,5.22,5,5.07,0.121860576,56,415.46487,-0.202127,110,-0.045609,0.156518,48,7.662,7.911,11.877,15.29,0.43588574,0.997781258,1.324,5.529346,2.452285,21.284385,182.3573,3422.76758,1.3602,-35.83257,18.86592,1484.91102,784.43434,700.47668,-0.00241101,0.01188299,-0.01841827,0.00018322,0.18959923,0.01518659,0.40724214,238.8,177.01,7.71546,13.80846,0.40073424,0.00144483,-37.14374,-12.62815,-0.7820948,0.041381
57.00 ,,L57,11.86,19.56,8.69,7.63,11.935,4.669295985,54,387.45473,-0.215057,103,-0.035528,0.179529,47,8.083,8.04,11.918,16.097,0.446456802,0.995731783,1.298155,5.798979,1.454514,17.291534,191.5616,3335.00042,1.3019,-43.38887,16.75606,1472.07407,753.68789,718.38618,-0.00263963,0.01139904,-0.01736816,0.00024785,0.15424685,0.01450442,0.38945011,262.28,149.94,6.87832,13.96842,0.40161524,0.00169417,-39.64931,-12.70476,-0.755705,0.032239
58.00 ,,L58,12.4,12.81,8.52,7.8,10.3825,2.241722273,58,417.48075,-0.20425,111,-0.032645,0.171606,51,8.082,8.432,14.245,16.11,0.415345348,0.996659243,1.312384,6.164021,2.055024,28.146439,225.308,3557.51609,1.315,-46.30555,23.56418,1579.09685,763.02791,816.06893,-0.0035752,0.01296814,-0.01904329,0.00029463,0.18642753,0.01622352,0.43831405,256.64,185.55,6.81032,15.10031,0.40343688,0.00179132,-39.73297,-12.71831,-0.7643924,0.037779
59.00 ,,L59,11.72,18.64,9.31,11.56,12.8075,3.499624087,57,455.45273,-0.213753,119,-0.051486,0.162268,55,7.537,9.085,13.313,14.093,0.386204818,0.934921056,1.458575,6.701916,2.778954,27.301055,210.1218,3555.87938,1.4353,-38.42559,19.97704,1563.89581,797.05006,766.84576,-0.00051266,0.01271273,-0.01425896,0.00017191,0.22885606,0.01348679,0.36656221,278.2,159.74,6.91786,16.26438,0.41943202,0.00291947,-43.18561,-13.09839,-0.8404607,0.069346
60.00 ,,L60,12.02,18.79,9.15,6.09,11.5125,4.695861875,54,387.45473,-0.209903,103,-0.038558,0.171345,47,7.902,10.059,12.145,15.727,0.414621286,0.995127816,1.764359,7.802907,1.460311,12.561177,161.6217,3342.58991,1.2989,-43.06619,18.2929,1509.16631,738.55605,770.61026,-0.00383669,0.0108759,-0.01793729,0.00020712,0.17389755,0.01467495,0.39406403,262.29,160.32,6.89465,13.79825,0.40301275,0.00160732,-39.67951,-13.10142,-0.7672659,0.033903
61.00 ,,L61,12.18,19.65,8.71,7.58,12.03,4.714652691,54,387.45473,-0.21528,103,-0.034854,0.180426,52,8.671,7.9,11.969,17.339,0.466001935,0.99982701,1.236109,5.537572,1.60128,17.716987,207.4689,3350.32589,1.2959,-40.18046,17.98792,1503.19995,763.71341,739.48655,-0.00245288,0.01139591,-0.01675539,0.00023398,0.17363867,0.01421122,0.38184272,260.76,160.18,6.88278,14.64655,0.40174871,0.00172922,-39.5826,-12.70485,-0.7514385,0.032087
62.00 ,,L62,11.78,19.26,9.08,7.32,11.86,4.558135584,58,413.49208,-0.213738,110,-0.039218,0.17452,51,8.357,8.215,11.289,16.602,0.459812774,0.993299031,1.275023,5.800503,1.788508,16.599631,188.7505,3528.07119,1.3133,-43.9078,17.15982,1503.17741,851.6971,651.4803,-0.00199905,0.01073206,-0.01864275,0.00027114,0.14635632,0.01451616,0.38532868,267.05,153.88,6.84741,13.91835,0.4016989,0.00175412,-36.97796,-12.77172,-0.7587949,0.032615
63.00 ,,L63,7.27,19.23,9.2,6.05,10.4375,5.199102687,52,407.44444,-0.211283,107,-0.041486,0.169797,48,7.59,10.891,11.542,15.071,0.401850469,0.992819499,1.876513,8.506658,1.769411,14.199111,168.351,3378.2709,1.3515,-40.92117,20.88185,1547.82476,680.63853,867.18622,-0.00480903,0.01264347,-0.01850718,0.0002152,0.19743404,0.01571752,0.43344149,241.3,192.14,6.99805,14.54953,0.40305741,0.0018939,-39.103,-13.07986,-0.7965718,0.036835
64.00 ,,L64,10.7,21.07,9.13,6.64,11.885,5.497010551,51,373.42811,-0.210373,99,-0.041096,0.169278,49,7.467,8.398,11.754,14.931,0.425590742,0.999799116,1.399094,6.131105,1.996634,14.388724,168.4771,3180.51894,1.3157,-47.15411,18.30631,1394.61667,708.78617,685.8305,-0.0029337,0.01139981,-0.01774697,0.0002409,0.1678156,0.01472247,0.39514072,242.34,148.19,6.77855,14.06422,0.40377006,0.00177547,-39.23431,-13.01046,-0.7657551,0.033753
65.00 ,,L65,8.64,11.15,5.84,4.43,7.515,2.588517916,64,553.47676,-0.211799,143,-0.040762,0.171037,59,8.756,10.115,14.511,17.393,0.413931793,0.99320466,1.701898,6.508652,2.702725,37.801743,664.3333,4020.84207,1.5425,-41.56114,29.38953,1854.57177,974.03425,880.53751,0.0018337,0.01626032,-0.01412475,0.00022476,0.24999921,0.01521619,0.41487463,291.33,228,7.02956,16.2597,0.43047366,0.00351565,-43.15173,-13.24006,-0.897466,0.087881
66.00 ,,L66,10.13,19.9,6.76,6.42,10.8025,5.448964925,63,591.44874,-0.227079,151,-0.051154,0.175925,42,8.414,10.686,14.071,16.661,0.402264716,0.990076064,1.742493,7.589346,2.301127,14.115425,618.6862,4017.12984,1.6499,-38.38318,24.04921,1792.87647,1063.73659,729.13988,0.00458669,0.01627989,-0.01247244,0.00019298,0.24619382,0.01426896,0.40086315,301.91,200.15,7.18566,16.34645,0.44420777,0.00402204,-43.21435,-12.68859,-0.9549604,0.100224
67.00 ,,L67,11.47,19.17,6.6,5.83,10.7675,5.311366938,60,523.45074,-0.222034,135,-0.043504,0.17853,41,8.554,8.343,12.45,16.867,0.44787573,0.985913023,1.361674,5.720672,2.440497,22.566624,464.8907,3784.96513,1.5497,-34.83433,22.4425,1645.43048,903.94494,741.48554,0.00240278,0.01537072,-0.01340644,0.00018596,0.24998901,0.01436053,0.39417188,267.5,193.27,7.07281,16.27738,0.43161016,0.00369442,-43.1698,-12.69481,-0.8979975,0.086566
68.00 ,,L68,5.1,5.05,3.92,4.36,4.6075,0.49302003,78,622.67401,-0.198306,163,-0.044552,0.153753,78,7.763,11.646,12.323,14.274,0.373244777,0.919361072,2.459841,9.929176,2.22487,12.974653,449.1548,5132.15009,1.3596,-32.09974,15.74538,2065.32582,919.49035,1145.83547,-0.00450219,0.01129359,-0.01717772,0.00016496,0.19008122,0.01443724,0.39614567,339.87,238.48,6.98741,13.64733,0.40078268,0.00184543,-36.51687,-13.12447,-0.7750779,0.031276
69.00 ,,L69,5.71,6.42,10.26,12.05,8.61,2.634492361,93,622.83913,-0.220484,167,-0.007329,0.213155,87,9.086,11.573,12.189,18.027,0.431381464,0.992020691,2.048757,9.241703,3.519579,21.832958,271.8538,5374.07491,1.2987,-41.42418,20.75139,2153.19433,1105.92642,1047.26791,-0.0027303,0.01119465,-0.01743521,0.00028758,0.17046636,0.01451151,0.38721602,383.82,219.14,8.48307,14.81387,0.40434853,0.00120356,-42.35629,-12.92744,-0.7742775,0.038355
70.00 ,,L70,6.54,6,6.21,5.58,6.0825,0.348164832,91,598.81766,-0.225798,161,-0.002798,0.223,86,9.346,8.545,15.399,17.39,0.420719021,0.930344532,1.459168,5.7714,2.248683,34.258732,187.102,5284.47208,1.2698,-47.74415,22.30761,2229.04196,1276.95286,952.0891,-0.00161541,0.01112924,-0.01870867,0.00028831,0.15686836,0.01467101,0.39093596,401.16,223.04,8.3309,14.65697,0.40341602,0.00127342,-42.80612,-13.11264,-0.7725095,0.037219
71.00 ,,L71,4.45,8.85,4.4,4.79,5.6225,1.86943006,131,903.20238,-0.222608,241,-0.014735,0.207872,68,9.576,12.013,14.303,18.313,0.410338569,0.956192565,2.230706,10.130624,2.606096,31.26305,411.7287,7740.00289,1.3076,-54.74473,20.04045,2817.75331,1505.09909,1312.65422,-0.0034225,0.01099529,-0.01995405,0.00030898,0.12131221,0.01564305,0.4127624,490.29,298.76,8.38865,13.70627,0.40197188,0.00131945,-39.71205,-13.10138,-0.7889351,0.034795
72.00 ,,L72,5.99,5.67,6.15,8,6.4525,0.910010302,45,332.39649,-0.235137,88,-0.003475,0.231663,38,6.405,6.768,12.029,12.339,0.396293679,0.96323185,1.02548,4.390241,1.968448,17.73852,152.6258,2756.44489,1.3513,-49.22375,22.74992,1278.84257,640.41833,638.42424,-0.00409915,0.01397534,-0.0222301,0.00037638,0.15685952,0.01836853,0.49242489,188.47,169.64,8.25312,14.73617,0.41203083,0.00176115,-41.23839,-13.13802,-0.8053181,0.045294
73.00 ,,L73,4.45,4.78,3.85,3.42,4.125,0.526141616,65,484.58884,-0.227173,128,-0.01069,0.216483,61,8.428,8.275,11.719,16.434,0.451136488,0.974964404,1.448727,5.867606,2.438459,23.071477,280.4806,4005.86212,1.3556,-39.5002,23.46031,1711.8199,848.02472,863.79517,-0.00336411,0.01364643,-0.02006408,0.00029658,0.20046958,0.01705396,0.4594593,267.4,211.95,8.59707,14.30214,0.40935439,0.00153257,-40.94711,-13.14678,-0.7908853,0.039675
74.00 ,,L74,6.59,6.36,9.41,8.92,7.82,1.358547018,53,362.4656,-0.239261,97,-0.000843,0.238418,49,9.219,8.063,8.309,18.31,0.527939565,0.993057815,1.205793,5.590604,2.741403,21.335259,264.582,3127.01626,1.2989,-43.28892,23.74672,1434.79566,724.36054,710.43512,-0.00192432,0.01381331,-0.01797043,0.00030623,0.20419336,0.01598128,0.43189085,225.41,176.37,8.4723,14.52833,0.40880661,0.00154317,-41.75583,-13.10724,-0.7850776,0.040477
75.00 ,,L75,4.21,3.99,3.41,3.42,3.7575,0.351238879,73,514.65796,-0.233647,137,-0.008566,0.225081,65,8.957,8.67,10.334,17.913,0.48522361,0.999944178,1.531709,6.053704,2.918617,18.219108,416.6691,4380.11683,1.3167,-41.26277,21.6369,1882.17564,960.63407,921.54158,-0.00282744,0.01270956,-0.01902353,0.00026437,0.18987628,0.01601227,0.42996639,301.74,225.32,8.54029,13.65336,0.40546846,0.00147986,-42.98024,-13.11713,-0.7928204,0.038732
76.00 ,,L76,8.23,6.23,4.78,5.95,6.2975,1.241236782,115,711.0306,-0.220369,193,-0.003979,0.21639,79,9.136,11.444,16.581,18.255,0.394446845,0.999069615,2.283988,9.237748,2.832996,22.638436,377.036,6472.04069,1.2311,-47.76563,26.34358,2629.80945,1490.95593,1138.85352,-0.00141927,0.0098272,-0.01614285,0.00028588,0.1582424,0.01281849,0.34183557,534.68,201.74,8.41324,14.60328,0.40161572,0.00098583,-43.17434,-13.15429,-0.7503516,0.035387
77.00 ,,L77,11.74,11.36,9.12,9.45,10.4175,1.146393802,47,334.41237,-0.23948,89,-0.001351,0.238129,44,8.249,6.632,10.392,16.337,0.489703546,0.990241241,1.029426,4.247612,2.322655,21.767931,193.2564,2838.51681,1.3202,-48.65387,22.41774,1346.9286,734.58345,612.34515,-0.00234434,0.0136158,-0.0214905,0.00038879,0.13861005,0.01748861,0.46792204,206.03,171.15,8.34003,14.72672,0.40913403,0.00167536,-42.10902,-13.10545,-0.7937355,0.041811
78.00 ,,L78,4.46,5.04,6.82,5.08,5.35,0.883459111,67,486.60472,-0.231699,129,-0.013369,0.218331,59,9.204,7.424,12.077,18.347,0.484754809,0.996686223,1.141297,4.987054,2.742692,23.939443,214.754,4110.62512,1.3265,-46.54296,18.81933,1807.32821,951.23406,856.09415,-0.00276728,0.011576,-0.01870456,0.0002639,0.14879402,0.01523741,0.40688229,309.78,196.32,8.46875,13.70867,0.40531005,0.00147518,-42.06941,-13.07303,-0.7963811,0.038819
79.00 ,,L79,6.65,6.61,7.27,7.14,6.9175,0.291493997,67,486.60472,-0.228419,129,-0.009286,0.219133,66,8.141,8.548,12.238,15.789,0.431688312,0.969721164,1.65733,6.103175,2.325586,18.515655,284.978,4082.19392,1.3358,-45.87093,26.23685,1760.34979,889.09448,871.25531,-0.00429716,0.01318076,-0.02213294,0.0003299,0.18325483,0.01794074,0.47923306,270.19,222.76,8.4649,14.45182,0.4061687,0.00153384,-42.22693,-13.11465,-0.7974408,0.03976
80.00 ,,L80,7.08,5.91,5.9,5.33,6.055,0.636651396,87,638.79708,-0.231363,169,-0.017501,0.213862,79,9.165,10.601,12.937,17.54,0.426992551,0.956901255,1.84366,8.11146,2.496908,17.327783,428.7762,5333.05477,1.3422,-52.85941,19.8684,2221.71106,1109.56142,1112.14963,-0.0047086,0.01181205,-0.02119079,0.00030738,0.11185615,0.01683813,0.44917513,365.87,256.27,8.47902,13.68605,0.40453834,0.00153837,-41.99015,-13.10452,-0.7971878,0.036391
81.00 ,,L81,5.63,6.01,13.28,11.89,9.2025,3.420653264,53,362.4656,-0.232065,97,-0.001133,0.230932,49,8.544,8.288,8.529,17.047,0.503395937,0.997600655,1.346525,6.143494,1.714009,14.03943,342.8574,3139.62031,1.2937,-46.58657,20.28229,1445.2372,751.76208,693.47512,-0.00240228,0.0127809,-0.01886162,0.00034544,0.13765657,0.0159174,0.42718177,236.91,167.8,8.30919,14.66848,0.40842106,0.0014652,-42.04399,-13.11921,-0.7808462,0.040061
82.00 ,,L82,5.05,4.31,7.45,6.65,5.865,1.246063803,77,562.7009,-0.231846,149,-0.009763,0.222083,69,9.225,10.155,10.217,18.082,0.470224164,0.980054201,1.805829,7.605127,2.652508,25.368468,341.6058,4712.02037,1.3382,-41.27873,24.62691,1985.61429,1033.89444,951.71985,-0.00302771,0.01380286,-0.02131148,0.00026048,0.18919096,0.01765041,0.47352689,288,268.03,8.55073,14.47545,0.40523111,0.00155253,-42.87198,-13.11118,-0.7992761,0.040693
83.00 ,,L83,6.06,6.54,3.68,5.5,5.445,1.083455121,97,714.89326,-0.228993,189,-0.016229,0.212765,85,8.972,12.561,13.172,17.374,0.403043589,0.968234507,2.202897,10.101847,3.043343,31.434201,479.1574,5926.87505,1.3516,-48.24132,22.59724,2340.15781,1147.28506,1192.87275,-0.00426073,0.0129743,-0.0208371,0.00026945,0.15411857,0.01716008,0.46211158,347.48,307.83,8.61446,13.70765,0.4034005,0.00160149,-39.35979,-12.85312,-0.8087133,0.03632
84.00 ,,L84,5.04,5.3,4.12,6.11,5.1425,0.710083622,67,486.60472,-0.231118,129,-0.004608,0.226509,60,7.843,10.714,11.431,15.217,0.407285477,0.970100727,2.095393,8.335788,1.440276,17.326976,295.8459,4082.12053,1.3358,-44.05967,19.35061,1770.25457,903.96609,866.28848,-0.00310459,0.01259843,-0.01949058,0.00026053,0.16049995,0.01619993,0.43459734,281.7,214.02,8.45484,14.71781,0.40557359,0.00168285,-42.21975,-13.13119,-0.7914139,0.035475
