No,yield20,SampleName,ODI_HOMO_1,ODI_HOMO,ODI_LUMO,ODI_LUMO_Add1,ODI_Mean,ODI_Std,AtomNum,Weight,HOMO,HOMO_number,LUMO,HOMO_LUMO_Gap,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_2,Mol_Size_L,Length_Ratio,Len_Div_Diameter,MPP,SDP,Dipole_Moment,Quadrupole_Moment,Octopole_Moment,Volume,Density,ESPmin,ESPmax,Overall_Surface_Area,Pos_Surface_Area,Neg_Surface_Area,Overall_Average,Pos_Average,Neg_Average,Overall_Variance,Nu,Pi,MPI,Nonpolar_Area,Polar_Area,ALIEmin,ALIEmax,ALIE_Ave,ALIE_Var,LEAmin,LEAmax,LEA_Ave,LEA_Var
L1,1,Restricted_L1,5.74,6.1,8.76,8.83,7.3575,1.44333598,47,356.41796,-0.230677,94,-0.0042,0.226477,38,8.156,8.118,9.171,15.634,0.474865595,0.958435508,1.349605,5.789535,2.90311,15.611553,213.1829,2856.26081,1.3983,-80.68189,18.35631,1372.15283,699.06505,673.08778,-0.00544842,0.01337444,-0.02499772,0.00067749,0.07514468,0.01963931,0.51908587,208.47,175.78,8.10193,14.77947,0.41081811,0.00175881,-40.65088,-13.19581,-0.8147486,0.047345
L2,1,Restricted_L2,6.06,5.51,7.71,8.44,6.93,1.189726859,69,510.6262,-0.227017,135,-0.006531,0.220486,63,8.203,8.505,13.815,15.813,0.414680198,0.963854687,1.468187,6.133686,2.096818,21.038763,306.2107,4163.18528,1.3744,-75.18648,19.51188,1770.2224,893.06345,877.15895,-0.00368651,0.01248225,-0.02014844,0.0004591,0.10628679,0.01656792,0.44302601,294.32,201.39,8.05051,14.63969,0.40668981,0.00162513,-41.92784,-13.12681,-0.7991176,0.038945
L3,1,Restricted_L3,6.96,6.96,7.41,7.44,7.1925,0.23274181,113,775.03149,-0.21083,207,-0.022625,0.188204,100,11.019,12.486,13.507,21.76,0.455678177,0.987385425,2.266687,10.355586,0.91315,21.537911,855.9896,6641.46907,1.3077,-79.4215,19.77483,2695.74533,1380.61163,1315.1337,-0.00410496,0.01102276,-0.01998586,0.00049825,0.10486212,0.01595686,0.41893167,478.98,275.9,8.16256,14.62001,0.4020378,0.00126358,-42.47107,-13.25921,-0.7829679,0.039953
L4,1,Restricted_L4,7.65,7.67,7.39,7.4,7.5275,0.13273564,137,887.24443,-0.210841,239,-0.021719,0.189122,114,12.015,12.58,14.2,23.943,0.472034383,0.996379526,2.037864,10.379122,0.640223,10.217369,725.878,7839.85277,1.2682,-80.53824,18.80874,3160.60782,1640.8294,1519.77842,-0.00402136,0.00964807,-0.01877957,0.00051871,0.08828435,0.01475236,0.38201938,617.35,267.71,8.14403,14.59083,0.40053045,0.00105113,-42.50429,-13.28084,-0.7664107,0.038343
,,Restricted_L5,9.05,8.89,8.05,8.24,8.5575,0.421744887,49,358.43384,-0.232064,95,-0.004365,0.227699,45,8.184,8.23,8.812,15.696,0.479442849,0.958944282,1.412507,5.924057,2.317765,15.445156,208.7863,2937.404,1.3674,-78.30497,17.83889,1403.58881,710.42653,693.16228,-0.00516365,0.0121856,-0.02294502,0.00061376,0.08567134,0.01810349,0.47617573,229.11,163.93,8.12369,14.7197,0.40856869,0.00161521,-41.65323,-13.19571,-0.8013575,0.045402
L6,1,Restricted_L6,7.78,7.82,5.79,5.8,6.7975,1.002605979,101,718.92502,-0.212531,191,-0.022238,0.190293,85,10.594,11.713,11.752,21.167,0.474256139,0.999008873,2.253915,9.516748,0.970746,24.545651,738.265,6057.45369,1.33,-79.39167,19.71132,2486.64178,1274.47765,1212.16413,-0.00474346,0.0113284,-0.02164151,0.00050574,0.10388314,0.01691001,0.44506217,424.51,271.82,8.15478,14.62912,0.40385592,0.00137664,-42.48313,-13.25687,-0.791293,0.042716
L7,1,Restricted_L7,6.46,7.32,6.16,6.03,6.4925,0.502562185,107,746.97826,-0.218311,199,-0.009496,0.208815,91,9.779,10.423,17.482,18.41,0.397495412,0.941302792,1.986269,8.001511,2.230564,23.213595,455.7362,6352.98552,1.3176,-74.07073,20.08633,2683.31951,1263.52113,1419.79838,-0.00381959,0.01078479,-0.01681646,0.00033998,0.13628968,0.01412274,0.38031367,506.24,245.17,8.05585,14.69971,0.40476587,0.00131286,-41.86158,-13.08077,-0.782292,0.039049
L8,1,Restricted_L8,4.04,3.95,3.8,3.81,3.9,0.100249688,117,735.05207,-0.2108,199,-0.022124,0.188677,94,10.523,10.534,15.548,20.32,0.437912159,0.965504134,1.933335,8.136599,1.3222,11.505815,544.887,6611.39626,1.2459,-79.85541,17.70549,2918.26277,1467.93846,1450.3243,-0.00434912,0.00861618,-0.01747188,0.00044726,0.08395147,0.01377477,0.35421881,599.08,218.12,8.18314,14.67859,0.4009814,0.00101979,-41.52638,-13.26352,-0.7649906,0.042766
L9,1,Restricted_L9,7.77,7.67,7.56,7.51,7.6275,0.100591998,115,733.03619,-0.209954,198,-0.022019,0.187935,74,9.814,10.734,16.275,19.422,0.41829812,0.989504789,1.876671,8.246742,1.793944,20.727585,495.9765,6534.37626,1.2571,-82.21107,18.63578,2849.99111,1351.08415,1498.90696,-0.00477192,0.00969219,-0.01780957,0.00047875,0.08938315,0.0145349,0.37990895,561.82,236.26,8.14109,14.65143,0.40207559,0.00111303,-40.43152,-13.15085,-0.7735554,0.043707
L10,1,Restricted_L10,7.82,7.72,7.67,7.7,7.7275,0.056291651,79,564.71678,-0.212304,150,-0.023628,0.188676,65,10.241,10.495,13.976,19.927,0.448826524,0.972903037,1.924258,8.020659,2.133588,9.42569,581.7862,4747.83128,1.3328,-80.6715,18.26546,2228.21647,1119.14586,1109.07061,-0.00594234,0.01071877,-0.02275481,0.0005078,0.08815533,0.01741983,0.45469072,384.77,239.2,8.11003,14.73561,0.40576946,0.00145372,-40.60705,-13.25397,-0.8029381,0.049979
L11,1,Restricted_L11,6.79,6.56,7.91,7.94,7.3,0.630357042,67,508.61031,-0.215987,134,-0.025115,0.190872,67,9.096,9.733,12.806,17.455,0.436440466,0.959487687,1.827823,7.375557,3.042014,12.058763,534.7787,4128.94164,1.3804,-79.26235,18.95359,1934.79223,927.32367,1007.46856,-0.00572269,0.01332629,-0.0232563,0.00048809,0.09768173,0.01874427,0.50332795,281.11,260.69,8.10268,14.77017,0.40624827,0.0017258,-40.64947,-13.1183,-0.8269714,0.047361
L12,1,Restricted_L12,9.01,8.21,8.19,11,9.1025,1.144363906,85,592.77002,-0.219124,158,-0.007388,0.211736,63,9.22,10.03,13.95,17.217,0.41791878,0.93367679,2.089997,7.729413,3.103223,18.719657,335.4874,5047.90176,1.3159,-79.33982,18.89342,2327.04747,1018.25014,1308.79733,-0.00567478,0.01122459,-0.01882257,0.00043585,0.11681252,0.01557288,0.42171948,414.95,236.69,8.08362,14.76368,0.40701616,0.001333,-40.616,-13.27151,-0.7832675,0.044034
L13,1,Restricted_L13,8.53,9.32,8.08,8.18,8.5275,0.487102402,55,386.48707,-0.227641,103,-0.003811,0.22383,51,7.936,8.134,10.984,15.493,0.447632256,0.976121472,1.497533,5.730138,2.31678,15.428479,178.3599,3226.8122,1.3422,-77.08962,18.69042,1502.87578,758.66702,744.20876,-0.00453013,0.01185295,-0.02123149,0.00054092,0.0971191,0.01703401,0.4489092,253.44,167.41,7.98431,14.63288,0.40803872,0.00150336,-40.59445,-13.2007,-0.7894735,0.041029
L14,0,Restricted_L14,6.98,7.64,14.18,7.14,8.985,3.009198398,38,292.33251,-0.233422,77,-0.040375,0.193046,32,7.943,7.377,7.86,15.569,0.505388561,0.980045323,1.380243,5.482362,2.218937,21.993217,168.0276,2390.51988,1.3703,-73.56122,22.96935,1191.08049,656.0491,535.03139,-0.00373708,0.01612083,-0.02808662,0.00069526,0.09938596,0.02203976,0.58493162,150.4,183.13,8.36609,14.73926,0.41166947,0.00211468,-39.97586,-13.1128,-0.8398923,0.053639
L15,0,Restricted_L15,11.89,11.79,15.47,4.64,10.9475,3.931783151,50,304.4278,-0.229515,83,-0.034461,0.195054,49,8.181,6.083,8.895,16.349,0.521882083,0.999205476,0.911244,3.707956,1.853076,20.177427,142.5045,2715.02772,1.2565,-70.46614,21.46858,1286.02277,792.85173,493.17104,-0.00172002,0.01152182,-0.0230084,0.00066354,0.09636755,0.01640047,0.43338896,237.29,122.84,8.31158,14.4876,0.40695551,0.00126147,-39.84803,-13.62368,-0.7515685,0.046746
L16,0,Restricted_L16,10.45,11.36,13.17,10.81,11.4475,1.045953512,56,306.49004,-0.193032,85,-0.008756,0.184275,44,6.924,8.835,10.779,13.845,0.413790012,0.999783362,1.342898,6.401917,6.510799,11.870873,20.3903,3001.28195,1.1443,-82.31689,19.23129,1388.76112,820.61798,568.14314,-0.00170532,0.01449239,-0.02510106,0.00092691,0.07495437,0.01921845,0.51245578,209.81,179.08,7.50984,13.37973,0.40228014,0.00099178,-34.42628,-12.99517,-0.7001915,0.024151
L17,0,Restricted_L17,7.69,9.2,10.2,7.21,8.575,1.19139624,58,374.5227,-0.193441,101,-0.030403,0.163038,55,6.915,9.57,12.593,13.568,0.379726288,0.981055676,1.423847,7.191753,5.743535,14.105659,210.1206,3352.08685,1.252,-79.8806,19.43714,1489.77468,831.72253,658.05215,-0.00209602,0.01312974,-0.02134009,0.00070841,0.08713217,0.01711814,0.45596352,243.81,173.37,7.71077,14.13082,0.40430206,0.00134603,-34.57856,-13.00201,-0.7337604,0.030825
L18,0,Restricted_L18,7.32,8.9,10.36,6.71,8.3225,1.422152857,64,402.57593,-0.190847,109,-0.028372,0.162475,59,7.402,9.86,13.401,14.132,0.377931698,0.954606863,1.631016,7.552514,6.614257,13.38767,240.7113,3660.62947,1.2324,-82.49453,18.72695,1621.21535,959.64361,661.57173,-0.00101172,0.01309104,-0.02146849,0.00077898,0.06936188,0.0167193,0.44925019,278.42,175.57,7.67853,13.8333,0.40426146,0.00119167,-36.03149,-13.01682,-0.726207,0.031666
L19,0,Restricted_L19,6.07,7.79,10.77,7.53,8.04,1.707073519,66,434.57474,-0.184958,117,-0.022523,0.162435,61,7.734,9.645,13.841,14.209,0.376946545,0.918606155,1.731792,7.14969,7.841054,19.062711,366.0063,3787.84513,1.2856,-83.65148,25.30345,1673.32959,945.92975,727.39985,-0.00076551,0.01559412,-0.02204,0.0007997,0.12306428,0.01850874,0.50058486,262.35,206.23,7.61899,15.07802,0.40816278,0.00152521,-37.7826,-12.98514,-0.7588825,0.041815
L20,1,Restricted_L20,4.42,7.22,4.08,3.92,4.91,1.345845459,78,526.71505,-0.19078,141,-0.033681,0.157099,74,8.732,10.383,13.751,15.054,0.384148209,0.862001832,1.907886,7.173436,5.360392,24.354936,592.1766,4611.14403,1.28,-79.65247,20.64642,1953.27696,1161.74098,791.53598,0.00029759,0.01360026,-0.01922681,0.00060946,0.09884699,0.01582569,0.43212585,321.34,225.63,7.71326,14.12691,0.40270339,0.00145875,-35.62687,-12.99997,-0.7799241,0.037197
L21,0,Restricted_L21,6.59,8.39,7.05,6.16,7.0475,0.836551702,64,510.51871,-0.199842,133,-0.038608,0.161235,58,7.342,8.887,13.501,14.023,0.385130867,0.954985018,1.584777,6.895408,0.772078,42.602121,238.6481,3790.84652,1.5091,-70.58348,29.72479,1653.11569,1037.45843,615.65726,0.0039408,0.01779953,-0.01941286,0.00057737,0.17285512,0.01762402,0.50069963,241.85,221.07,7.88952,16.25435,0.43264472,0.00328092,-43.26548,-12.94768,-0.87824,0.088948
L22,0,Restricted_L22,6.19,7.79,9.9,6.54,7.605,1.452385968,64,402.57593,-0.191219,109,-0.028065,0.163154,49,7.19,9.798,12.928,14.154,0.383785249,0.984283727,1.544758,7.206196,6.132639,17.366919,217.4295,3661.93163,1.2319,-79.93319,21.44715,1620.06808,1002.67849,617.3896,-0.00045256,0.01323609,-0.02268376,0.00073358,0.07706767,0.0169487,0.45814416,264.88,188.78,7.89379,13.65818,0.40352588,0.00114854,-35.50193,-13.00842,-0.7284541,0.032216
L23,1,Restricted_L23,6.46,8.68,9.73,6.64,7.8775,1.379898094,76,458.6824,-0.191164,125,-0.024945,0.166219,70,7.702,10.364,12.187,14.871,0.397386564,0.965398598,1.883751,7.81833,6.176123,21.478924,282.8096,4260.46807,1.2064,-81.42324,21.65616,1735.79764,1151.37328,584.42435,0.00029161,0.01180772,-0.02239623,0.00077187,0.06456077,0.01527923,0.41831393,318.24,167.83,7.79367,14.09838,0.40366742,0.00106475,-36.38724,-13.00205,-0.7265793,0.02851
L25,0,Restricted_L24,6.24,8.36,10.16,6.69,7.8625,1.5438001,70,430.62917,-0.189047,117,-0.026423,0.162624,58,8.091,9.961,13.177,16.13,0.410767037,0.996786553,1.578254,7.578831,6.310719,13.291497,251.6272,3964.74087,1.2171,-83.83985,18.24972,1768.25478,1095.12224,673.13254,-0.00057956,0.01180423,-0.0207268,0.00083565,0.06351477,0.01534853,0.41363594,335.61,159.56,7.65436,14.00278,0.40321335,0.00115763,-35.85453,-12.97142,-0.7269688,0.032617
L26,0,Restricted_L25,6.12,7.79,9.83,6.44,7.545,1.460556401,82,486.73564,-0.189999,133,-0.02704,0.162959,78,8.42,9.159,14.412,15.153,0.391307716,0.899821853,1.556014,6.816412,6.182385,17.782764,246.4305,4574.51792,1.1923,-80.48987,18.39672,1971.92057,1268.9991,702.92147,0.00029839,0.01150863,-0.01993969,0.00070599,0.06312718,0.01443032,0.39494626,381.57,170.62,7.72975,13.65253,0.40231105,0.00101587,-36.71207,-13.00097,-0.7165325,0.028384
L27,0,Restricted_L26,6.01,7.64,10.16,6.4,7.5525,1.621286141,88,514.78887,-0.189986,141,-0.02843,0.161556,83,8.389,11.88,14.236,16.645,0.389256566,0.992072953,2.09944,9.499164,5.871036,20.286149,224.5741,4867.31056,1.1852,-81.63801,22.54301,2047.32153,1324.37705,722.94448,0.00037803,0.01103487,-0.01914445,0.00076525,0.06322184,0.01379104,0.37819751,410.23,163.08,7.7274,13.8348,0.40131031,0.0009746,-36.60181,-12.74688,-0.7200395,0.028824
L28,0,Restricted_L27,8.91,10.17,11.8,18.13,12.2525,3.544674703,29,237.25717,-0.235266,62,-0.056461,0.178805,24,6.551,6.904,8.091,13.06,0.465514169,0.996794383,1.081206,4.477804,1.982601,24.237139,336.3718,1869.55573,1.4221,-68.1109,29.62501,946.30771,491.3341,454.97362,-0.00492645,0.01749949,-0.02914461,0.0007048,0.15109315,0.02357472,0.62853744,117.82,147.18,8.24877,14.85149,0.41262121,0.00194522,-40.52004,-12.71012,-0.8543619,0.053016
L29,0,Restricted_L28,5.91,9.31,10.83,11.1,9.2875,2.065942581,54,370.48767,-0.228865,99,-0.046182,0.182683,47,8.325,8.494,10.671,16.028,0.455431478,0.962642643,1.50722,5.936823,2.76311,11.600397,259.9334,3242.96352,1.2802,-71.35006,22.51174,1520.39821,759.04282,761.3554,-0.00461172,0.01217722,-0.02134966,0.00045872,0.11694512,0.01709757,0.45634618,252.12,173.63,8.08263,14.34353,0.4044272,0.0014195,-39.84808,-13.03128,-0.7881506,0.040731
,,Restricted_L29,5.82,7.5,10.69,11.35,8.84,2.271486298,55,404.50399,-0.228783,107,-0.047412,0.181372,51,9.881,8.185,10.732,19.561,0.508368418,0.989828965,1.450547,5.638707,2.783194,13.209379,310.113,3438.7275,1.3182,-72.19388,22.76029,1629.73265,820.40121,809.33144,-0.00414786,0.01270656,-0.02123281,0.00046368,0.09861956,0.01723041,0.46098068,269.5,186.87,8.06285,14.04656,0.40433468,0.00171038,-39.75274,-13.02158,-0.8120808,0.04184
L30,0,Restricted_L30,4.33,5.45,10.58,11.62,7.995,3.151670192,62,466.57356,-0.230003,123,-0.050182,0.179821,59,9.202,9.278,10.764,18.171,0.475518803,0.987339709,1.708482,6.983189,3.006643,18.600943,255.1335,3914.54194,1.3356,-72.70941,23.7378,1802.53973,878.04887,924.49086,-0.00517711,0.01319722,-0.02262839,0.00047407,0.12094224,0.01830527,0.4907383,281.8,222.96,8.18494,14.27757,0.40391799,0.00170961,-41.23063,-13.01516,-0.8135154,0.041699
L31,0,Restricted_L31,10.03,9.97,10.5,13.62,11.03,1.509354167,39,278.34899,-0.227308,74,-0.043197,0.184111,34,7.707,7.068,8.604,15.342,0.494679822,0.995328922,1.064582,4.718646,3.161986,20.582306,161.7793,2359.54429,1.3219,-76.73369,22.21873,1159.756,659.45353,500.30247,-0.00404848,0.01343659,-0.02709572,0.00074689,0.06867191,0.02009771,0.52596741,180.09,144.67,8.03535,14.65854,0.40672652,0.00162801,-39.97434,-13.13305,-0.8012657,0.047864
L32,0,Restricted_L32,8.59,8.09,11.46,8.86,9.25,1.305507564,29,224.2584,-0.229173,59,-0.046395,0.182778,27,6.787,4.92,9.042,13.504,0.491662419,0.994843082,0.628402,2.474898,3.005312,20.649431,217.8542,1855.24167,1.3545,-74.29819,24.06387,946.82098,463.41077,483.41022,-0.00494067,0.01766336,-0.02660954,0.00071386,0.11111256,0.02242864,0.60493445,115.78,149.35,8.06171,14.83413,0.41114632,0.00200181,-39.40781,-12.95409,-0.8327271,0.049684
L33,0,Restricted_L33,8.03,7.59,9.05,9.22,8.4725,0.683168171,36,286.32796,-0.226071,75,-0.064882,0.16119,33,7.419,7.03,8.631,14.724,0.484581208,0.992317024,1.033086,4.740514,3.457233,20.955334,289.4345,2299.88253,1.3951,-73.68554,24.96081,1129.77357,547.41059,582.36298,-0.00484275,0.01646418,-0.02487088,0.00064407,0.11848683,0.02095623,0.56593073,145.89,170.48,8.12369,14.81634,0.40696073,0.00178302,-40.2603,-13.08525,-0.8492983,0.050871
L34,1,Restricted_L34,9.28,9.57,10.86,13.78,10.8725,1.780889876,59,386.53017,-0.230785,104,-0.045496,0.18529,55,7.877,9.59,10.408,15.073,0.429785293,0.956772883,1.640708,7.119036,3.050701,15.051886,212.4294,3373.82345,1.2838,-71.99636,22.31591,1564.55841,693.63012,870.92828,-0.00409475,0.01232922,-0.01717523,0.00049338,0.13711091,0.01499933,0.40890008,292.45,145.67,8.08068,14.7564,0.40467945,0.00132123,-40.18173,-13.0079,-0.7650497,0.039529
L35,0,Restricted_L35,4.18,3.93,8.48,6.07,5.665,1.823711874,62,474.55416,-0.227442,125,-0.053581,0.17386,55,10.916,6.853,13.123,21.535,0.518778155,0.986396116,0.953268,4.510684,1.518251,38.710991,333.5488,3896.67519,1.3647,-79.2569,32.95452,1868.90998,948.92875,919.98122,-0.00517317,0.01544901,-0.02644424,0.00070028,0.12944388,0.02131527,0.56766944,268.22,255.13,8.2686,14.77467,0.40746013,0.0016804,-39.96671,-12.97554,-0.8371775,0.050455
L36,0,Restricted_L36,19.1,10.77,8.95,10.47,12.3225,3.973357365,37,267.32628,-0.229633,71,-0.051325,0.178308,35,7.32,5.391,10.35,14.597,0.481145758,0.997062842,0.531913,2.993006,3.609761,29.238399,199.6666,2272.17207,1.3184,-95.14322,31.16744,1129.44176,559.83243,569.60933,-0.00701821,0.01674213,-0.03037072,0.00114484,0.10538985,0.02428615,0.64260796,148.89,167.38,8.07311,14.22411,0.40816152,0.00150836,-39.69794,-12.92765,-0.8150499,0.050193
L37,0,Restricted_L37,8.94,13.17,6.73,6.59,8.8575,2.658583975,68,524.57224,-0.191536,138,-0.025018,0.166519,65,7.944,11.494,12.3,15.396,0.39285532,0.969033233,2.154166,9.082593,1.91833,4.835293,270.5558,4510.61581,1.3032,-48.74152,16.59413,1917.89943,876.30743,1041.592,-0.00468621,0.01092368,-0.01781906,0.00019571,0.15832697,0.01465378,0.39914992,327,210.06,6.69693,13.70013,0.40085442,0.00194098,-32.86676,-13.09302,-0.7616879,0.029088
,,Restricted_L38,55.51,21.39,6.83,27.46,27.7975,17.66910209,87,554.54914,-0.167696,145,-0.002665,0.165031,69,7.273,10.252,13.283,14.046,0.373752694,0.965626289,1.886774,8.158581,1.935407,12.873536,148.2638,4769.97568,1.3028,-54.81887,15.58281,1801.85049,1144.41605,657.43444,0.00073892,0.00778213,-0.0115214,0.00025548,0.10050245,0.00897193,0.24888788,433.48,71.09,6.03882,13.64779,0.40132589,0.00117821,-28.50731,-12.8992,-0.7097199,0.013532
,,Restricted_L39,52.94,19.55,11.11,6.18,22.445,18.24389281,75,542.45385,-0.174712,139,-0.01802,0.156692,75,7.374,9.708,12.298,14.016,0.389095553,0.950366151,1.745886,6.990207,2.18307,11.794117,242.2766,4436.86224,1.37,-53.55215,16.64103,1707.26384,959.68534,747.5785,-0.00132004,0.01022521,-0.01614098,0.0002709,0.12866961,0.01301741,0.34873049,336.81,141.27,6.12715,13.68213,0.40190348,0.00160252,-32.87092,-12.97278,-0.7392012,0.019381
L40,0,Restricted_L40,16.59,19.21,4.87,5.31,11.495,6.473505619,52,398.41724,-0.18598,105,-0.025029,0.160951,44,8.015,7.758,12.257,15.997,0.44421304,0.99794136,1.312294,5.330225,3.591334,12.068216,340.5448,3428.90206,1.3021,-51.81814,25.03078,1497.10572,779.66489,717.44083,-0.00250519,0.01353293,-0.01993431,0.00028697,0.16367499,0.01679826,0.45172506,227.25,191.98,6.33349,13.65806,0.39776485,0.00222106,-32.75598,-12.96165,-0.7507196,0.028823
L41,0,Restricted_L41,19.37,22.8,12.41,12.11,16.6725,4.577337518,46,282.34164,-0.175317,77,-0.017248,0.158069,44,6.172,8.391,9.568,12.019,0.400927347,0.973671419,1.535682,5.93087,2.854781,8.579868,91.6197,2713.75759,1.1659,-56.65492,18.09149,1177.70643,643.79706,533.90937,-0.00074565,0.00993332,-0.01362254,0.00036587,0.12713821,0.01169741,0.31581029,256.04,73.75,6.09671,13.63142,0.39653946,0.00160024,-32.63148,-12.99871,-0.6779676,0.015109
