No,yield20,SampleName,ODI_HOMO_1,ODI_HOMO,ODI_LUMO,ODI_LUMO_Add1,ODI_Mean,ODI_Std,AtomNum,Weight,HOMO,HOMO_number,LUMO,HOMO_LUMO_Gap,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_2,Mol_Size_L,Length_Ratio,Len_Div_Diameter,MPP,SDP,Dipole_Moment,Quadrupole_Moment,Octopole_Moment,Volume,Density,ESPmin,ESPmax,Overall_Surface_Area,Pos_Surface_Area,Neg_Surface_Area,Overall_Average,Pos_Average,Neg_Average,Overall_Variance,Nu,Pi,MPI,Nonpolar_Area,Polar_Area,ALIEmin,ALIEmax,ALIE_Ave,ALIE_Var,LEAmin,LEAmax,LEA_Ave,LEA_Var
L42,0,Restricted_L42,5.14,20.99,3.72,3.5,8.3375,7.331992823,72,506.59841,-0.185916,135,-0.003725,0.182191,58,7.607,8.772,12.709,14.863,0.408953335,0.976929144,1.487091,6.382428,3.023295,9.129204,50.3566,4454.95783,1.2743,-56.29486,19.18624,1850.83028,1059.29108,791.5392,-0.0028011,0.01168672,-0.02218967,0.00036189,0.11096221,0.01670835,0.44023892,320.89,197.4,6.35867,13.54581,0.3953608,0.00194784,-33.6479,-12.99613,-0.7424001,0.027305
,,Restricted_L43,52.28,18.77,6.75,10.21,22.0025,18.01997416,60,481.34796,-0.198643,121,-0.022621,0.176022,55,7.443,10.033,12.489,14.27,0.387856056,0.958618836,1.690531,7.778376,2.722207,18.544869,257.2264,3731.60937,1.4455,-65.01715,19.18455,1608.6084,813.76569,794.84271,-0.00340628,0.01253129,-0.01972328,0.00039392,0.13057568,0.01636589,0.43769469,264.95,185.51,6.60499,14.13537,0.40668411,0.00176279,-38.72714,-13.01617,-0.7483299,0.025604
,,Restricted_L44,48.31,17.54,7.73,7.4,20.245,16.70763673,63,495.37458,-0.199135,125,-0.022726,0.176409,54,7.661,9.732,13.19,15.074,0.396725971,0.983814123,1.729536,7.532588,2.511894,17.17612,239.2435,3888.02241,1.4277,-63.96895,19.27112,1676.86837,840.10865,836.75971,-0.0039668,0.01191857,-0.01991574,0.00036257,0.12676012,0.01619004,0.43291051,277.46,192.11,6.56817,13.86311,0.40569605,0.00166627,-38.19745,-13.10934,-0.7453317,0.025248
,,Restricted_L45,48.45,18.09,9.12,6.08,20.435,16.76629431,64,529.3909,-0.199084,133,-0.023116,0.175969,62,9.171,9.563,13.41,18.247,0.442673459,0.99482063,1.630299,7.1075,2.308156,16.497635,233.9338,4084.88042,1.4523,-62.45475,19.53377,1795.02582,900.27157,894.75425,-0.0036986,0.01220232,-0.01969758,0.00032226,0.11659906,0.01617677,0.43370685,295.77,206.88,6.52906,14.32864,0.40582169,0.00188426,-39.55684,-13.11013,-0.7703903,0.028977
,,Restricted_L46,53,18.78,10.1,6.93,22.2025,18.3024539,61,515.36429,-0.197803,129,-0.024341,0.173462,60,7.716,8.825,11.505,14.33,0.413444893,0.928589943,1.499275,6.426925,2.301514,14.855893,356.8359,3931.54019,1.4689,-64.69036,19.54418,1659.33942,829.81911,829.5203,-0.00397035,0.01263874,-0.02058541,0.00037878,0.11665246,0.01686996,0.45201817,265.65,199.01,6.47772,14.63526,0.40737191,0.00194376,-40.28618,-13.12111,-0.7724118,0.02904
,,Restricted_L47,49.03,13.53,10.3,8.27,20.2825,16.70303472,57,441.32708,-0.193542,111,-0.016388,0.177154,29,6.758,9.532,12.766,13.439,0.37605283,0.994303048,1.640174,6.898949,2.039487,10.556052,207.8095,3495.43321,1.4148,-56.89177,17.25197,1448.16448,814.46076,633.70372,-0.00199612,0.01032214,-0.01782803,0.00028525,0.13121055,0.01393118,0.37025575,272.78,132.75,6.50846,13.69498,0.40320783,0.00185031,-32.52975,-13.11927,-0.7412977,0.021974
L48,0,Restricted_L48,7.57,18.88,7.98,6.72,10.2875,4.981653215,60,437.51355,-0.191762,116,-0.056998,0.134764,48,7.604,11.023,12.598,14.474,0.379944875,0.951735928,1.955592,8.590971,2.61068,16.470067,227.2443,3718.15185,1.3186,-63.30832,19.69987,1669.2866,786.06756,883.21904,-0.00496676,0.01196914,-0.02003977,0.00033969,0.1399454,0.01635309,0.44189397,268.41,199.04,6.62693,14.10543,0.40184243,0.00166796,-40.01484,-13.08384,-0.777204,0.036792
L49,0,Restricted_L49,14.14,18.59,10.73,7.85,12.8275,4.003251023,56,380.46378,-0.186764,102,-0.017366,0.169399,54,7.434,8.153,12.421,14.829,0.418862808,0.997376917,1.407433,6.107118,2.058214,12.836098,147.5321,3318.75062,1.2846,-63.794,17.66979,1464.69894,787.17965,677.51929,-0.00354832,0.01031411,-0.01965446,0.00038264,0.09503659,0.01517338,0.39822869,273.66,136.5,6.45028,14.19946,0.40345684,0.00159632,-40.33351,-12.89156,-0.7435129,0.030163
,,Restricted_L50,15.23,19.93,8.45,6.11,12.43,5.474321876,63,429.53458,-0.195775,115,-0.021085,0.17469,56,7.501,11.129,11.484,14.072,0.383590023,0.938008266,1.935773,8.865782,2.181208,12.343405,191.0734,3776.09135,1.2747,-61.57889,18.94865,1659.81943,833.07228,826.74714,-0.00365369,0.01065771,-0.01807457,0.00029323,0.13237008,0.01463557,0.39053793,299.68,165.11,6.67624,14.17636,0.40289147,0.00142069,-41.66948,-12.91614,-0.7525806,0.03
L51,1,Restricted_L51,13.38,20.89,7.29,5.82,11.845,5.941735857,57,401.48134,-0.197032,107,-0.023073,0.173959,55,7.53,9.748,11.662,15.027,0.412410462,0.997808765,1.712388,7.625955,2.669472,10.367288,182.1093,3488.96025,1.2895,-60.75598,16.72678,1521.72994,761.83573,759.89421,-0.00310641,0.01119178,-0.01744114,0.00030523,0.13527697,0.01452308,0.38946222,269.72,156.4,6.5315,13.82582,0.40287262,0.00161955,-41.0553,-13.11323,-0.7573,0.032404
,,Restricted_L52,62.27,55.68,16,4.62,34.6425,24.77270915,39,331.19023,-0.201313,81,-0.018582,0.182731,39,7.478,7.396,7.423,14.76,0.499002671,0.986894892,1.25647,5.154142,1.562651,14.973657,179.5135,2442.40951,1.5195,-49.79051,20.61729,1159.90584,625.09604,534.8098,-0.00193165,0.01354212,-0.0200177,0.00032176,0.14605931,0.01673503,0.44974663,178.73,146.08,7.9902,14.47421,0.41362413,0.00172562,-39.75122,-12.69608,-0.7749649,0.033276
L53,0,Restricted_L53,17.38,24.07,6.84,6.86,13.7875,7.32962951,56,409.52466,-0.199064,109,-0.01785,0.181214,48,7.49,7.604,12.327,14.962,0.428796607,0.998798398,1.203245,5.073093,6.215505,28.378528,347.735,3497.59924,1.3121,-55.72895,44.88581,1499.12264,818.84289,680.27975,-0.00135534,0.01833673,-0.02505841,0.00061338,0.19005368,0.02153772,0.58196801,185.39,234.4,6.36272,13.64391,0.40075713,0.00172897,-37.92179,-12.86156,-0.7331159,0.028674
L54,0,Restricted_L54,22.17,20.12,5.84,6.87,13.75,7.43935145,63,471.59422,-0.198469,125,-0.025854,0.172615,61,8.087,11.482,11.944,15.143,0.392621017,0.936255719,1.980928,9.644104,4.977106,27.57752,322.4236,3992.3592,1.3237,-66.38876,36.85045,1761.31753,846.281,915.03653,-0.00560622,0.01515778,-0.02481001,0.00064189,0.12065788,0.02045122,0.54891581,242.02,251.2,6.46917,13.68722,0.39980697,0.00179311,-37.29703,-13.084,-0.762314,0.031431
L55,0,Restricted_L55,8.54,6.7,6.4,5.41,6.7625,1.131820988,88,597.78981,-0.199646,160,-0.045474,0.154172,71,10.177,7.796,16.522,17.362,0.416554702,0.853001867,1.049618,5.338144,1.198409,26.582928,274.0948,5172.89684,1.295,-35.54481,17.96164,2364.7359,1231.67744,1133.05846,-0.00228632,0.01094803,-0.01667255,0.00020988,0.17972289,0.0139319,0.37254897,413.87,248.32,8.43231,14.41382,0.40241416,0.00118072,-39.08764,-13.11235,-0.7986042,0.049895
L56,0,Restricted_L56,5.52,8.22,32.16,5.9,12.95,11.13894519,56,415.46487,-0.190208,110,-0.095671,0.094537,54,7.731,7.906,12.066,14.312,0.417454206,0.925624111,1.325318,5.476824,4.042352,22.214984,230.0627,3446.02587,1.351,-41.58838,20.81429,1529.03255,828.64663,700.38593,-0.00254128,0.01356988,-0.02160286,0.00023201,0.17347374,0.01753681,0.46938142,217.84,210.34,7.26523,13.85887,0.39821792,0.00156984,-36.98002,-13.05081,-0.7861095,0.043094
L57,1,Restricted_L57,12.44,22.41,8.82,7.13,12.7,5.925179322,54,387.45473,-0.197741,103,-0.034777,0.162964,52,7.761,9.272,11.277,15.499,0.429954505,0.998518232,1.764394,6.94757,2.673193,15.761722,175.904,3347.11812,1.2972,-62.53835,19.36609,1525.95845,742.6591,783.29935,-0.00429363,0.01177124,-0.01952501,0.00033976,0.12740242,0.01594483,0.4286168,253.8,173.51,6.46724,14.25243,0.40227533,0.00172376,-40.54014,-13.10166,-0.7606768,0.033525
L58,1,Restricted_L58,6.77,18.67,9.04,7.43,10.4775,4.801465271,58,417.48075,-0.19075,111,-0.039702,0.151048,54,7.469,9.531,13.539,14.642,0.388258379,0.980184764,1.550632,7.292829,3.557006,20.300473,308.9018,3550.707,1.3176,-63.19544,25.18053,1544.79411,715.41115,829.38296,-0.00405904,0.01357227,-0.01926749,0.00036795,0.182976,0.01666325,0.45252455,239.42,193.16,6.37967,15.12449,0.40521544,0.00182401,-40.18195,-13.12139,-0.7747037,0.039256
L59,1,Restricted_L59,12.72,22.36,9.12,10.71,13.7275,5.144644667,57,455.45273,-0.201017,119,-0.053392,0.147624,55,7.455,9.5,13.213,14.417,0.388284406,0.966934943,1.545751,7.21586,2.865818,27.402567,228.2334,3555.54799,1.4354,-55.56458,20.56107,1550.65034,806.52486,744.12548,-0.00083881,0.01306039,-0.01590353,0.00025672,0.1860103,0.01447094,0.3925175,265.26,168.97,6.57819,16.30541,0.41939955,0.00300032,-43.2495,-13.10168,-0.8435218,0.069407
L60,0,Restricted_L60,12.49,22.66,8.97,7.14,12.815,6.00040207,54,387.45473,-0.196729,103,-0.037177,0.159552,47,8.188,9.456,11.489,16.257,0.436992635,0.992733268,1.714106,6.940187,2.411657,15.579242,189.0976,3349.1503,1.2964,-61.99771,17.20424,1534.43534,776.15276,758.28257,-0.00404,0.01132517,-0.01976729,0.00034177,0.11787325,0.01582709,0.42169672,258.86,170.83,6.44584,13.93089,0.40264674,0.00176926,-39.81248,-13.09754,-0.763873,0.033573
L61,0,Restricted_L61,12.18,22.44,8.97,7.18,12.6925,5.905951977,54,387.45473,-0.19684,103,-0.03793,0.15891,47,8.211,10.315,11.784,16.414,0.426193753,0.999512849,1.783024,8.074567,2.586253,16.142647,173.5695,3362.97988,1.291,-62.76337,18.28244,1556.10428,796.1055,759.99878,-0.00373793,0.01147941,-0.01967824,0.00037083,0.11761786,0.01589213,0.42133308,262.64,173.12,6.44703,14.35031,0.40199116,0.00177084,-39.67101,-12.92489,-0.7607971,0.03495
L62,0,Restricted_L62,12.34,22.84,8.89,7.25,12.83,6.064243564,58,413.49208,-0.196829,110,-0.037846,0.158983,50,8.449,9.483,11.3,16.794,0.44692232,0.993845425,1.74877,7.379153,2.341983,14.449364,172.8941,3543.24099,1.3077,-62.33651,17.91605,1613.13678,835.8927,777.24408,-0.00401341,0.01043023,-0.01954693,0.00036003,0.12053875,0.01535108,0.40335035,280.81,170.91,6.4361,14.06573,0.40195456,0.00176822,-40.03423,-13.11283,-0.7631101,0.033124
L63,0,Restricted_L63,8.19,22.6,8.99,7.13,11.7275,6.311815805,52,407.44444,-0.197054,107,-0.041069,0.155984,49,7.824,10.066,11.121,15.557,0.423388853,0.99418456,1.964322,7.839275,2.596689,13.764972,232.1502,3387.63841,1.3478,-65.24905,18.64544,1575.01716,753.94804,821.06912,-0.00505621,0.01264347,-0.02130896,0.00037109,0.11548613,0.01733781,0.46697069,238.23,202.82,6.46072,14.5534,0.40275356,0.00208313,-39.68321,-13.08934,-0.7935779,0.037073
L64,0,Restricted_L64,12.69,23.1,8.93,7.22,12.985,6.166005595,51,373.42811,-0.197163,99,-0.038347,0.158816,44,7.586,9.04,11.339,15.101,0.425620068,0.995320327,1.733962,6.849057,2.384589,15.128786,177.51,3199.08216,1.3081,-61.32053,18.89963,1477.87208,720.75493,757.11715,-0.00436369,0.01173027,-0.0196847,0.00033693,0.13023801,0.01605302,0.43008524,242.79,171.05,6.4435,14.10304,0.4030358,0.00183351,-39.97145,-12.99535,-0.7665941,0.034326
L65,0,Restricted_L65,13.2,16.52,6.19,6.14,10.5125,4.503206496,64,553.47676,-0.19918,143,-0.038841,0.160338,55,8.445,12.207,13.857,16.439,0.386772698,0.973297809,2.103912,7.815667,4.735283,31.041828,602.7486,4027.30025,1.54,-55.00366,29.2939,1867.04718,939.15885,927.88834,0.00050673,0.01629548,-0.01547379,0.0002825,0.23956861,0.01588791,0.43231043,291.49,231.33,6.65002,16.27339,0.43122267,0.00351586,-43.18908,-13.20832,-0.8981454,0.087806
L66,0,Restricted_L66,13.49,22.5,8.23,6.42,12.66,6.246539042,63,591.44874,-0.210448,151,-0.057832,0.152617,47,8.127,10.013,14.371,16.022,0.396525269,0.98572659,1.688956,7.248072,2.348677,20.54883,618.553,4008.73621,1.6533,-45.54122,24.0091,1760.52217,1040.99929,719.52289,0.00415561,0.01621204,-0.01328753,0.00021648,0.24999332,0.01457291,0.40862782,292.86,200.14,6.81935,16.32404,0.44569007,0.00402342,-43.19406,-13.39127,-0.9668905,0.097769
L67,0,Restricted_L67,12.91,21.32,5.48,5.86,11.3925,6.450276641,60,523.45074,-0.205896,135,-0.040207,0.165689,43,8.478,10.655,13.162,16.349,0.407035801,0.964201463,1.764598,7.81983,3.952847,21.125674,512.466,3805.2059,1.5415,-52.82397,22.68431,1758.32515,947.4684,810.85675,0.00142061,0.01508081,-0.01454103,0.00024825,0.22315204,0.01476343,0.40359633,286.73,205.65,6.71482,16.27704,0.43121182,0.00361022,-43.16355,-13.06085,-0.8988154,0.087307
L68,0,Restricted_L68,5.51,12.92,4.28,3.94,6.6625,3.659674678,78,622.67401,-0.18872,163,-0.043371,0.14535,68,8.145,11.379,12.193,15.727,0.4001883,0.96543892,2.394633,8.965942,2.468657,17.556867,479.8614,5076.07077,1.3746,-49.57997,15.18149,2003.386,979.79563,1023.59036,-0.00368047,0.01134417,-0.01806227,0.00020233,0.15610693,0.0149359,0.40209313,332.27,228.73,6.62149,13.66918,0.4021619,0.00189907,-36.3443,-13.09916,-0.7709527,0.030738
L69,1,Restricted_L69,4.62,6.16,6.64,6.71,6.0325,0.842537091,93,622.83913,-0.220909,167,-0.00507,0.21584,67,9.259,8.871,12.257,17.412,0.451790348,0.940274328,1.631284,6.471067,0.787767,23.565249,376.0284,5371.10928,1.2994,-80.90189,19.04886,2132.56905,1058.594,1073.97505,-0.004254,0.01143006,-0.01971343,0.00064036,0.08938426,0.01612011,0.42454156,386.6,210.58,8.1207,14.72552,0.4035111,0.00124024,-42.43041,-13.22453,-0.7736744,0.038718
L70,1,Restricted_L70,7.58,6.53,5.38,3.72,5.8025,1.432137825,91,598.81766,-0.225049,161,-0.003995,0.221053,64,9.422,10.488,11.926,18.418,0.45106779,0.977393335,1.96525,8.057002,1.302125,17.185361,225.0053,5287.92898,1.269,-86.75637,20.16722,2164.77081,1220.46742,944.30339,-0.00433233,0.01066416,-0.02371458,0.00070094,0.06191181,0.01737218,0.44509495,398.47,207.72,8.16679,14.23647,0.40141513,0.00132268,-42.50157,-13.16458,-0.7790783,0.038713
L71,1,Restricted_L71,5.89,6.37,5.23,4.13,5.405,0.840044642,131,903.20238,-0.225368,241,-0.012986,0.212382,68,9.886,10.085,17.11,17.729,0.394644288,0.896672062,1.785554,7.636072,1.850779,24.09239,474.0047,7756.05004,1.3049,-83.99096,20.90548,2945.77796,1502.50763,1443.27033,-0.00503818,0.01095535,-0.02168813,0.00049461,0.08523032,0.01686498,0.44120068,514.3,310.6,8.22597,13.70575,0.40111243,0.00136963,-39.04999,-13.11206,-0.7882746,0.03521
,,Restricted_L72,8.13,7.3,12.06,13.65,10.285,2.647078578,45,332.39649,-0.23103,88,-0.002662,0.228369,35,7.345,7.875,10.429,14.091,0.434974533,0.959223962,1.414333,5.506807,2.378349,7.993965,111.7408,2752.43785,1.3533,-84.95702,19.0845,1338.03495,731.54998,606.48497,-0.0054835,0.01277452,-0.02750657,0.00080366,0.0548572,0.02041133,0.52931717,210.8,163.88,8.13361,14.77849,0.41129446,0.00190376,-40.65896,-13.13254,-0.8065423,0.044261
L73,1,Restricted_L73,3.7,5.25,4.1,4.07,4.28,0.581764557,65,484.58884,-0.229928,128,-0.00701,0.222917,65,9.009,7.671,10.057,17.988,0.503639825,0.998334998,1.409673,5.156607,2.672911,25.047662,261.0499,4012.98193,1.3532,-82.09536,21.97366,1802.90532,919.54717,883.35815,-0.00517877,0.01364534,-0.02477406,0.00059055,0.09513484,0.01964888,0.51968326,265.07,239.8,8.24762,14.164,0.4074357,0.00173593,-41.03375,-13.11907,-0.8066736,0.041919
L74,1,Restricted_L74,7.96,8.41,12.29,13.21,10.4675,2.311042784,53,362.4656,-0.233171,97,-0.003209,0.229962,49,7.317,8.336,11.053,14.055,0.420254754,0.960434604,1.603116,5.851127,1.820446,7.72906,116.7203,3129.96234,1.2977,-83.31333,18.78194,1454.13733,831.94364,622.1937,-0.00462853,0.01129644,-0.02592202,0.00075271,0.05683245,0.0186416,0.4776797,253.3,153.9,8.0762,14.68908,0.40790124,0.00168248,-41.71292,-13.13544,-0.7837754,0.038995
L75,1,Restricted_L75,3.53,5.74,3.9,3.94,4.2775,0.859371136,73,514.65796,-0.229411,137,-0.00785,0.221561,72,9.124,8.729,9.755,18.108,0.494862265,0.992327926,1.582813,6.275291,2.008443,24.079357,318.3621,4383.81906,1.3156,-79.54154,21.878,1897.26638,1034.16371,863.10266,-0.00457718,0.01236188,-0.02487345,0.0005453,0.09728231,0.0187815,0.49126438,306.92,224.37,8.24479,14.10266,0.40549898,0.00156859,-42.51458,-13.12669,-0.7951777,0.038809
L76,1,Restricted_L76,9,6.68,4.53,4.35,6.14,1.8886106,115,711.0306,-0.224555,193,-0.002984,0.22157,109,9.261,10.265,12.732,18.398,0.444449813,0.993305259,1.988707,7.918895,1.51654,20.230575,268.7532,6458.26136,1.2337,-81.47753,19.63143,2435.01031,1397.22227,1037.78804,-0.00230745,0.00970909,-0.01848588,0.00052249,0.07828183,0.01396489,0.36598516,500.92,180.95,8.18244,14.20441,0.4019381,0.00101459,-42.84047,-13.18254,-0.7541279,0.033905
L77,1,Restricted_L77,9.19,9.54,10.36,10.62,9.9275,0.583239873,47,334.41237,-0.233634,89,-0.002591,0.231044,43,7.405,8.136,10.074,14.202,0.438171048,0.958946658,1.456154,5.850589,1.750144,7.48525,106.9961,2835.52937,1.3216,-82.8165,18.18274,1364.73678,784.72745,580.00933,-0.00490694,0.01166858,-0.0273329,0.00075337,0.05520915,0.01938899,0.49867242,228.26,153.9,8.1458,14.70331,0.4089344,0.00175842,-41.57606,-13.12802,-0.7937313,0.042482
L78,1,Restricted_L78,4.64,6.62,8.52,9.75,7.3825,1.936599791,67,486.60472,-0.226647,129,-0.013102,0.213545,65,9.14,10.108,12.382,17.982,0.444307175,0.983698031,1.976559,7.644737,1.868169,24.01046,185.5453,4123.4319,1.3224,-80.9125,17.08335,1916.19759,1031.16034,885.03725,-0.00429459,0.01122835,-0.02238042,0.00052712,0.07306339,0.01699431,0.44569998,331.13,205.46,8.22028,13.70089,0.40399724,0.0015896,-42.42743,-13.09109,-0.8016355,0.040455
L79,1,Restricted_L79,3.99,5.55,7.47,7.56,6.1425,1.479516391,67,486.60472,-0.229983,129,-0.00788,0.222103,66,9.083,7.936,9.826,18.07,0.504297834,0.994715402,1.420754,5.415255,2.029321,24.142384,291.6868,4094.7631,1.3317,-79.64357,21.77039,1827.89704,984.74587,843.15117,-0.00471546,0.01286492,-0.0252482,0.00054552,0.09437148,0.01924295,0.50550411,284.45,227.41,8.25898,14.39083,0.40582816,0.00162796,-41.96069,-13.11766,-0.7975533,0.040916
L80,1,Restricted_L80,3.49,6.5,6.86,4.88,5.4325,1.346836571,87,638.79708,-0.2284,169,-0.014824,0.213575,80,9.468,8.819,14.62,18.674,0.44342602,0.986163921,1.669884,6.45746,2.046144,23.36775,316.2479,5341.65214,1.3401,-78.70485,20.34897,2290.91579,1175.21174,1115.70405,-0.00518669,0.01127564,-0.02252706,0.00043734,0.08145484,0.01728537,0.45593272,384.61,256.91,8.27431,13.69889,0.40442147,0.00160276,-41.74011,-13.08848,-0.798741,0.036751
L81,0,Restricted_L81,5.33,7.07,13.55,13.59,9.885,3.736023956,53,362.4656,-0.229445,97,-0.00051,0.228935,49,9.743,6.661,9.894,19.468,0.540432501,0.99907626,1.0594,4.262501,1.560473,18.397705,263.6334,3144.86587,1.2915,-75.87623,17.08524,1506.34029,846.88051,659.45978,-0.00244537,0.01129906,-0.02009602,0.00051404,0.0758684,0.01558082,0.41226005,273.3,148.51,8.06448,14.40589,0.40719261,0.00152118,-40.91424,-13.12214,-0.7792815,0.039721
L82,1,Restricted_L82,4.45,6.95,3.42,4.74,4.89,1.286526331,77,562.7009,-0.228823,149,-0.009504,0.219319,75,9.499,9.555,10.943,18.948,0.480352887,0.997368144,1.711602,6.653199,2.198657,32.39091,258.0667,4708.53777,1.3392,-79.29735,23.22586,1984.81672,1076.05378,908.76295,-0.00393931,0.01344724,-0.02452648,0.00051425,0.09756679,0.01905567,0.50395348,299.94,255.87,8.25036,13.6635,0.40486207,0.00161386,-42.93885,-13.11476,-0.8019282,0.039652
L83,1,Restricted_L83,3.21,3.75,5.53,6.41,4.725,1.297410883,97,714.89326,-0.229277,189,-0.014462,0.214816,90,9.059,10.716,13.507,17.492,0.419321587,0.965448725,2.062615,8.189311,2.069746,20.899867,468.0416,5944.03388,1.3477,-84.38706,21.72764,2443.17304,1206.10121,1237.07183,-0.00575602,0.01238733,-0.02344514,0.00052323,0.08220161,0.01842373,0.48943278,386.74,297.41,8.26578,13.71322,0.40260276,0.00166271,-38.61004,-12.53655,-0.80948,0.03629
L84,1,Restricted_L84,4.57,5.72,5.87,4.16,5.08,0.73147112,67,486.60472,-0.232316,129,-0.007613,0.224704,53,7.593,9.919,10.56,14.523,0.414919147,0.956341367,2.062787,8.132613,2.281687,18.406127,228.3299,4080.71355,1.3362,-83.83223,20.59287,1716.11973,944.42148,771.69825,-0.00429551,0.01340053,-0.02595231,0.00065659,0.06919711,0.01971425,0.51823451,258.32,222.24,8.23016,14.19126,0.40538817,0.00171455,-42.40788,-13.10739,-0.7968187,0.04062
