Ligand ID,Surface Area_CoL2,Surface Volume_CoL2,P_int_CoL2,Vb_R2.5_CoL2,Vb_R3.0_CoL2,Vb_R3.5_CoL2,Vb_R4.0_CoL2,Vb_R4.5_CoL2,Surface Area_Free,Surface Volume_Free,P_int_Free,Surface Area_Res,Surface Volume_Res,P_int_Res,N_Mulliken_CoL2,N_NPA_CoL2,O_Mulliken_CoL2,O_NPA_CoL2,Co_Mulliken_CoL2,Co_NPA_CoL2,N_Mulliken_Free,N_NPA_Free,O_Mulliken_Free,O_NPA_Free,N_Mulliken_Free,N_NPA_Free,O_Mulliken_Free,O_NPA_Free
L1,457.7,473.4,20.8,0.433650215,0.435013781,0.428811032,0.413502421,0.392942428,433.3,434.3,21.6,439.7,434.2,19.9,-0.479582,-0.56545,-0.4911505,-0.538935,-0.008311,0.50196,-0.427291,-0.53814,-0.4876665,-0.550555,-0.4412525,-0.540585,-0.5027015,-0.56367
L10,726.2,757.1,21.5,0.432754916,0.4349486,0.431909243,0.424221029,0.414382707,715.7,719.2,20.7,714.1,717.2,20.7,-0.4773225,-0.566055,-0.49144,-0.539495,-0.000521,0.51412,-0.4392635,-0.546135,-0.494148,-0.55261,-0.439962,-0.539775,-0.502824,-0.56405
L100,593.6,673.5,23.8,0.4282947,0.442640048,0.464941297,0.48296971,0.490412795,600.3,637.6,22.2,574,633.6,22.9,-0.4648815,-0.553735,-0.493412,-0.541785,-0.02179,0.52499,-0.440293,-0.547285,-0.492236,-0.548795,-0.420415,-0.515505,-0.5053385,-0.567855
L101,867.2,1023.7,24.5,0.434773408,0.450713275,0.476676062,0.501117249,0.517521817,913.4,999,22.4,852.8,987.5,23.8,-0.465471,-0.55535,-0.4927585,-0.540935,-0.02427,0.53248,-0.428234,-0.54154,-0.492472,-0.551655,-0.421486,-0.51625,-0.504435,-0.56697
L102,782.9,830.9,23,0.426992447,0.434389899,0.442287085,0.445871609,0.44374403,739.9,789.2,23.3,767,791.2,22.2,-0.472627,-0.56609,-0.4842875,-0.5356,-0.007335,0.52043,-0.4358405,-0.547525,-0.4903745,-0.556015,-0.43499,-0.533815,-0.496407,-0.56161
L103,840.7,962.7,25,0.429727178,0.443561904,0.466606877,0.489393892,0.506021514,825.9,926,24.2,822.5,922.7,24.2,-0.4642135,-0.55438,-0.4933385,-0.541825,-0.028787,0.52843,-0.426035,-0.53618,-0.5017255,-0.559595,-0.4210435,-0.5163,-0.504883,-0.567515
L104,906.4,1013.1,24.4,0.427073838,0.443999553,0.467119363,0.481736081,0.486241968,876.1,968.2,24.8,896,975.1,23.8,-0.4609925,-0.570965,-0.4766815,-0.533005,0.001851,0.52683,-0.4255865,-0.543425,-0.4962145,-0.560325,-0.426373,-0.535035,-0.488791,-0.559
L105,611.6,640.8,22.2,0.43236424,0.435274508,0.4314317,0.423871889,0.414059786,590.4,603.3,21.6,586.7,600.6,21.6,-0.4921065,-0.56568,-0.49488,-0.535475,0.003584,0.51485,-0.446916,-0.55001,-0.495989,-0.5442,-0.444676,-0.536625,-0.5063805,-0.55896
L106,602.2,624,22.3,0.437687199,0.438598778,0.433458349,0.424500341,0.411840049,564.7,585.7,22.3,577.3,584.6,21.6,-0.493203,-0.570826667,-0.5048575,-0.537515,-0.033049,0.48439,-0.485564667,-0.53314,-0.5140715,-0.544025,-0.479140667,-0.57831,-0.5156055,-0.55994
L107,702.6,734,22.4,0.418918479,0.421130066,0.426050596,0.434299547,0.440178339,653,692.9,23,678.5,697.1,21.8,-0.469864,-0.56191,-0.474524,-0.52911,-0.012306,0.51414,-0.4414805,-0.54473,-0.485934,-0.549205,-0.4328835,-0.52788,-0.487362,-0.55398
L108,795.9,888.3,24.3,0.415890741,0.42758306,0.440120667,0.448784992,0.452663685,762.8,844.4,23.7,772.4,847.9,23.9,-0.4627475,-0.570665,-0.488986,-0.53309,0.019235,0.52427,-0.4296155,-0.541935,-0.506373,-0.552315,-0.423327,-0.53403,-0.499716,-0.55394
L109,613.9,670.5,21.8,0.439168512,0.46880587,0.492650485,0.507250481,0.513082342,589.8,631.4,20.7,593.7,631.7,21,-0.4714255,-0.56872,-0.4835925,-0.531455,-0.008867,0.52839,-0.44068,-0.554235,-0.487647,-0.54981,-0.432321,-0.532715,-0.4969775,-0.55703
L11,625,657.5,21.7,0.433373486,0.43517208,0.432940039,0.42503569,0.414019082,618.4,620,20.9,611.8,619.6,20.9,-0.478363,-0.566475,-0.491118,-0.53904,0.006169,0.51271,-0.446362,-0.55491,-0.4922505,-0.5486,-0.4387625,-0.539395,-0.502676,-0.563825
L110,471.8,500.7,21.7,0.420025394,0.429696812,0.432322726,0.426195612,0.414114059,444,465.1,21,453.5,459.5,21,-0.491581,-0.581095,-0.4843105,-0.53214,-0.019012,0.51046,-0.441059,-0.55833,-0.473006,-0.53561,-0.4531935,-0.557045,-0.4966505,-0.55687
L111,528.5,545.2,20.2,0.423964709,0.414211487,0.400344763,0.383910837,0.366571509,512.1,511.1,19.6,506.2,507.8,19.4,-0.48688,-0.565965,-0.474373,-0.53287,-0.029882,0.49031,-0.4484015,-0.556805,-0.489705,-0.550185,-0.446214,-0.544085,-0.487058,-0.559485
L112,578.2,595.7,20.9,0.418853366,0.4095184,0.396128401,0.381047887,0.365098016,544.1,554.1,20.7,555.7,556.3,20.1,-0.4840865,-0.563315,-0.4732715,-0.5294,-0.025986,0.49678,-0.4389115,-0.55134,-0.486988,-0.551245,-0.44226,-0.54014,-0.4866545,-0.55609
L113,566.2,594,20.4,0.4183813,0.409667387,0.397945397,0.384461703,0.369287839,539.5,553.7,19.8,541.8,554.4,19.7,-0.483317,-0.568515,-0.472259,-0.53181,-0.027177,0.49646,-0.4468925,-0.559635,-0.4884495,-0.55142,-0.4445195,-0.54479,-0.4839505,-0.55872
L114,418.2,448,19.2,0.475989712,0.483285533,0.481288436,0.467979952,0.445361345,404,414.5,18.1,411.1,414.7,18.1,-0.4973915,-0.57009,-0.4883745,-0.533185,-0.096405,0.48018,-0.455798,-0.56128,-0.492684,-0.543915,-0.459891,-0.550365,-0.500121,-0.55813
L115,438.6,471.8,19.4,0.462055606,0.465183626,0.460101798,0.448672491,0.431478486,430.1,439.2,18.6,426.3,436.4,18.4,-0.4888665,-0.571545,-0.479071,-0.53064,-0.071832,0.50414,-0.445668,-0.55342,-0.492967,-0.55203,-0.450244,-0.545035,-0.492365,-0.556525
L116,490.5,482.4,19.4,0.425755307,0.429510578,0.440120667,0.443322885,0.436721192,465.3,441.4,18.4,465,441.7,18.1,-0.485287,-0.56813,-0.461075167,-0.568308333,-0.034848,0.50513,-0.4471635,-0.54692,-0.467793,-0.577441667,-0.444385,-0.541795,-0.470441833,-0.581475
L117,765.8,918.1,24.7,0.463732257,0.489012217,0.513167397,0.532989883,0.547303751,757.7,886.8,23.6,759.3,888.7,24,-0.4732915,-0.56464,-0.483782,-0.53576,-0.085914,0.53824,-0.4451095,-0.55043,-0.4866785,-0.54378,-0.4320045,-0.52161,-0.4954875,-0.561675
L118,697.9,814.2,24.6,0.464269436,0.49002719,0.520138371,0.542738657,0.553721453,671.8,780,23.2,684.1,776,23.8,-0.4825335,-0.554115,-0.485168,-0.53658,-0.08038,0.5069,-0.4378495,-0.55998,-0.481314,-0.54647,-0.4384285,-0.516995,-0.4966525,-0.56265
L119,288.2,282,19.2,0.377962625,0.362112634,0.342323192,0.317434517,0.288172434,255.5,241,18.1,258,241.1,18.3,-0.514277,-0.505865,-0.477977,-0.51717,0.041789,0.53062,-0.462573,-0.491945,-0.479963,-0.53279,-0.4579735,-0.48047,-0.491086,-0.54483
L12,761,800.6,21.9,0.429955072,0.43173607,0.436748742,0.437647415,0.432281717,758.2,766.6,21.3,757.6,766,21.1,-0.4772415,-0.56679,-0.4912075,-0.539215,0.004232,0.51918,-0.446324,-0.55556,-0.4923795,-0.548825,-0.4392795,-0.53948,-0.5027335,-0.56388
L120,385.2,384.5,19.7,0.390513088,0.385931913,0.37567555,0.357577897,0.333424692,359.9,345,18.8,358.7,343.6,18.8,-0.495056,-0.53286,-0.4809175,-0.51305,0.020212,0.52893,-0.455565,-0.51946,-0.4854505,-0.52595,-0.4522145,-0.507805,-0.4900325,-0.531045
L121,441.6,450.9,20.2,0.389731736,0.386788588,0.381860324,0.374301719,0.362601489,417.1,412.2,19.2,415.3,410.4,19.2,-0.495569,-0.51626,-0.484757,-0.52219,0.001191,0.51969,-0.4448655,-0.489735,-0.504663,-0.55866,-0.4470795,-0.492305,-0.496761,-0.54828
L122,460.2,470.1,21.5,0.38668772,0.384963498,0.376129799,0.360576625,0.341703934,430.2,430,20.8,430.8,429.1,20.8,-0.51212,-0.50386,-0.48744,-0.51758,0.03234,0.53364,-0.45159,-0.474205,-0.505616,-0.55266,-0.4538455,-0.47672,-0.50044,-0.54263
L123,556.4,582.3,21.8,0.39155489,0.389218936,0.380241334,0.364413289,0.345937174,525.3,542.2,21.3,526.3,541,21.2,-0.499107,-0.513995,-0.504541,-0.52167,0.02138,0.53293,-0.453655,-0.50004,-0.505679,-0.53698,-0.449487,-0.487455,-0.51611,-0.54626
L124,349.3,351.5,19.8,0.41580935,0.409788439,0.395965337,0.373681025,0.345562695,327.1,312.2,18.9,328.1,312.7,19,-0.4493905,-0.543375,-0.464872,-0.52403,0.016711,0.5189,-0.4309735,-0.523525,-0.483334,-0.55512,-0.415723,-0.51887,-0.479407,-0.55068
L125,411.8,405,20,0.34976885,0.3490111,0.349177693,0.346036869,0.338729811,371.3,359.3,19.1,397.2,390.8,20.1,-0.440463,-0.52507,-0.4686755,-0.500355,0.04473,0.57577,-0.4215035,-0.496905,-0.482492,-0.528895,-0.4603565,-0.626755,-0.463067,-0.49146
L126,319.4,309.9,17.8,0.352112905,0.345481973,0.338922149,0.327322947,0.308820337,285.3,265.3,16.6,307.4,297.7,18,-0.453571,-0.52986,-0.469173,-0.501325,0.029233,0.5631,-0.429754,-0.503665,-0.4902335,-0.534905,-0.456132,-0.539135,-0.464046,-0.49667
L127,444.4,451,20.4,0.434382732,0.457063841,0.471172661,0.474283874,0.465154459,419.9,409.3,18.9,431.5,437.9,20.5,-0.443943,-0.53006,-0.4691005,-0.50301,-0.00205,0.57169,-0.424496,-0.500995,-0.488093,-0.53455,-0.4645415,-0.635305,-0.4617165,-0.49192
L128,288,267.6,16.7,0.434382732,0.457063841,0.471172661,0.474283874,0.465154459,287.4,267.1,16.7,276.3,254.6,16.7,-0.4372815,-0.50549,-0.497728,-0.54276,-0.00205,0.57169,-0.429373,-0.50492,-0.4922185,-0.53608,-0.462266,-0.55535,-0.4829805,-0.52536
L129,350,351.3,18.1,0.395868603,0.398893772,0.392948658,0.377630191,0.353491881,327.4,314.5,17,330.2,314.1,16.9,-0.458387,-0.525915,-0.4719215,-0.501135,-0.032302,0.5319,-0.4316875,-0.501915,-0.4916505,-0.534865,-0.434812,-0.51012,-0.487077,-0.52659
L13,503.6,531.6,21,0.428131918,0.439092297,0.441302879,0.433725405,0.417221149,492.3,492.8,20.9,485.5,490.5,20.2,-0.450173,-0.574345,-0.473734,-0.52759,-0.016947,0.51577,-0.4387965,-0.5519,-0.4918325,-0.553255,-0.426803,-0.546195,-0.485615,-0.55363
L130,388.3,399.1,18.3,0.405114598,0.407162545,0.399453736,0.382750916,0.357095563,368.3,357.1,17.3,370.5,360.4,17.3,-0.460573,-0.525045,-0.472723,-0.50072,-0.0507,0.52684,-0.432788,-0.50195,-0.4907275,-0.53369,-0.4365325,-0.510765,-0.487945,-0.526245
L131,403.7,403.8,18.2,0.372590832,0.372821067,0.369176295,0.358245143,0.341549258,370.8,360.8,17.1,374.3,360.6,17.1,-0.454816,-0.52902,-0.470047,-0.501355,0.00834,0.55071,-0.4304015,-0.50478,-0.4898185,-0.533495,-0.4290115,-0.510975,-0.4857015,-0.527245
L132,415.3,427.6,19.3,0.372314103,0.351925656,0.327332976,0.297921451,0.265839376,380,384.8,18.7,380.2,384.3,18.8,-0.494993,-0.5031,,,0.065678,0.54213,-0.4193605,-0.478205,,,-0.421715,-0.47295,,
L133,435.7,447.3,21.1,0.368521292,0.348322035,0.324281355,0.295330054,0.263880145,401.6,403,20.8,400.8,403.7,20.8,-0.5052915,-0.495505,,,0.073179,0.54732,-0.419869,-0.46286,,,-0.4239625,-0.46166,,
L134,696.2,756.2,22.7,0.49920237,0.518055349,0.5259679,0.525882937,0.520517649,667.5,716.3,22.4,692.1,721.8,22,-0.4412865,-0.56258,-0.4623925,-0.518465,-0.053951,0.52612,-0.444445,-0.54769,-0.4804625,-0.53756,-0.434155,-0.538245,-0.4760565,-0.542115
L135,701.6,745.2,22.9,0.482891653,0.492057136,0.492132175,0.486441717,0.477205627,661.1,702.1,23.8,685.6,732.8,23,-0.4465015,-0.564365,-0.46333,-0.517195,-0.027833,0.51194,-0.445367,-0.55398,-0.488418,-0.544,-0.456318,-0.58386,-0.4546785,-0.507795
L136,660,698.7,23.5,0.484112515,0.512645262,0.533492126,0.54763438,0.552142128,623.7,656.5,23,642.7,659.9,22.6,-0.423611,-0.562045,-0.4649175,-0.517925,0.018931,0.55872,-0.4280435,-0.54124,-0.487587,-0.545215,-0.4167395,-0.528285,-0.478677,-0.541285
L137,603.9,655.1,22.9,0.439070843,0.461291344,0.474270872,0.475063621,0.46622091,603.7,622.4,22,593.5,618,22.1,-0.451665333,-0.5554,-0.484301333,-0.540746667,-0.009989,0.51751,-0.436145,-0.556736667,-0.493112333,-0.55041,-0.428860333,-0.534673333,-0.494019,-0.55786
L138,506.1,523.9,20.7,0.451865477,0.464727354,0.471411433,0.470520917,0.460145124,477,484.1,19.6,485.3,485.2,19.7,-0.4482905,-0.584595,-0.4679345,-0.52292,-0.00191,0.51914,-0.44404,-0.55504,-0.48359,-0.55762,-0.437152,-0.56103,-0.480167,-0.54771
L139,491.9,523.8,20.7,0.526940357,0.519396231,0.509411107,0.494130563,0.47335772,488.4,493.3,20.5,489.2,491.1,19.7,-0.4508375,-0.54825,-0.518214333,-0.510313333,-0.051361,0.48515,-0.424865,-0.523455,-0.493704,-0.515936667,-0.4391865,-0.527605,-0.498323333,-0.516436667
L14,412.1,405.1,20,0.349687459,0.348983164,0.349142751,0.34597092,0.338659257,373.3,359.2,19,373.1,360.4,18.9,-0.4404675,-0.52507,-0.468665,-0.500355,0.044795,0.57589,-0.416928,-0.49771,-0.481901,-0.52723,-0.4157075,-0.502035,-0.48403,-0.52495
L140,457.8,474.4,21.2,0.417160438,0.42553449,0.426411666,0.420318416,0.407699071,426.2,437.4,20.8,435.7,437.8,20.6,-0.482223,-0.58185,-0.5343665,-0.733205,-0.184384,0.40266,-0.434333,-0.53487,-0.561127,-0.75558,-0.441205,-0.54215,-0.565812,-0.76077
L141,370.8,376.4,19.8,0.46503451,0.45456831,0.439922661,0.41807228,0.388904568,353.7,342.8,18.7,349.7,339.4,18.7,-0.454414333,-0.481103333,-0.487706,-0.52194,-0.035325,0.44448,-0.43649,-0.484226667,-0.481642,-0.52973,-0.425064667,-0.46811,-0.497818,-0.54489
L142,641.8,687.2,22.6,0.434822242,0.438840882,0.435415114,0.430230122,0.423269799,612.1,642.7,22.4,617.5,646.8,21.9,-0.4825805,-0.56482,-0.4837655,-0.533435,0.002059,0.51804,-0.442581,-0.543105,-0.496957,-0.553525,-0.4394505,-0.53183,-0.495469,-0.557965
L143,890.6,1014.7,24.9,0.457741893,0.48581831,0.511076687,0.53622525,0.558947877,861.2,976.9,24,868.5,975.1,24.2,-0.4694865,-0.55764,-0.496825,-0.53702,0.001195,0.55275,-0.425979,-0.54252,-0.4917855,-0.547665,-0.42735,-0.513675,-0.508352,-0.562025
L144,768.9,887.7,23.1,0.480075531,0.503761919,0.522223258,0.535123518,0.544123394,773.8,858.6,21.9,757.8,853.6,22.2,-0.4778125,-0.561245,-0.489103,-0.53442,-0.135886,0.50327,-0.4356505,-0.539805,-0.5021625,-0.55565,-0.4474975,-0.52888,-0.5017805,-0.560975
L145,418.6,419,20.4,0.361961193,0.361153531,0.358140375,0.34790283,0.332122156,385,372.4,19.5,387.9,376.1,19.6,-0.442316,-0.52516,-0.4719075,-0.50537,0.027536,0.55739,-0.4151855,-0.49484,-0.489572,-0.53586,-0.4152165,-0.502385,-0.4868635,-0.530625
L146,279.1,262.8,17.4,0.349752572,0.337455304,0.325917816,0.310482745,0.289396275,243,219.8,16.1,243.5,218.8,16.1,-0.4518805,-0.53006,-0.4687025,-0.50172,0.039456,0.56415,-0.429295,-0.503475,-0.487561,-0.53593,-0.427639,-0.51148,-0.484233,-0.52752
L147,397.5,421.6,20.2,0.399563745,0.395439139,0.381295425,0.360398175,0.33366349,356.2,379.1,19.4,374.3,382.1,19.6,-0.624468,-0.707915,,,0.027665,0.56262,-0.56962,-0.71068,,,-0.565345,-0.69877,,
L148,269.4,270.7,17.1,0.396877849,0.380791865,0.354640328,0.321942306,0.28496494,235.7,229.2,16,240.5,229.7,15.8,-0.6173485,-0.70654,,,0.023592,0.5536,-0.5676115,-0.712455,,,-0.5570695,-0.70056,,
L149,247.6,237.8,17.6,0.346269045,0.313999181,0.274279025,0.230436503,0.192552753,206.8,191.2,16.5,209.5,192.3,16.4,-0.783472,-0.90836,-0.615637,-0.75081,0.046035,0.60831,-0.75882,-0.91523,-0.645918,-0.76796,-0.746185,-0.90659,-0.652161,-0.76441
L15,439.8,457.2,19,0.399514911,0.404611144,0.402167583,0.39121175,0.372473624,421.2,423.5,18,418.3,420.9,17.9,-0.457343,-0.525365,-0.4726765,-0.501375,-0.041402,0.5283,-0.4292045,-0.50341,-0.488697,-0.53024,-0.4332665,-0.509825,-0.487859,-0.526925
L150,435.4,458.4,19.8,0.435684985,0.449316523,0.446485977,0.433655577,0.415272773,423.9,419.2,19,421,418.2,18.9,-0.6302285,-0.70904,,,0.020181,0.56589,-0.591462,-0.717295,,,-0.584048,-0.69993,,
L151,432.3,447.1,19.6,0.402900768,0.387505587,0.361611303,0.326620787,0.290970172,406.2,405.2,19,405.1,407.7,18.9,-0.6126395,-0.704635,-0.493011,-0.5276,0.033147,0.56293,-0.5700915,-0.714635,-0.496041,-0.531145,-0.5547505,-0.69345,-0.4953565,-0.53074
L152,391.6,415.9,20.7,0.402575205,0.38713312,0.36245574,0.336125163,0.309968196,367.2,373.9,20.3,363.6,374.3,20.1,-0.615792,-0.702125,,,0.040342,0.56796,-0.5665165,-0.709155,,,-0.5540105,-0.688215,,
L153,376.2,387.7,19.8,0.426422711,0.434324717,0.432200429,0.420597728,0.40109413,355.7,347.8,18.8,360.8,349.3,18.8,-0.490438,-0.51531,-0.483276,-0.51969,-0.008591,0.53246,-0.449519,-0.490955,-0.502717,-0.55426,-0.450352,-0.490875,-0.495834,-0.54596
L154,663.2,715.5,20.8,0.534770152,0.523735474,0.512963567,0.49678403,0.47425864,661,684.1,19.8,656.8,681.2,20,-0.499444333,-0.560173333,-0.5051445,-0.547415,-0.103149,0.40516,-0.560254333,-0.55286,-0.525256,-0.56828,-0.484001333,-0.561093333,-0.509216,-0.56247
L155,694,758.8,21,0.537472327,0.544211859,0.542984765,0.530223915,0.507589984,672.2,723,21,691,724.6,20.1,-0.507365,-0.567553333,-0.4975255,-0.545675,-0.153601,0.4214,-0.574602667,-0.567936667,-0.5032465,-0.547175,-0.491908,-0.566886667,-0.503061,-0.559195
L156,519.3,545.6,21,0.542697617,0.541232122,0.534656867,0.523947148,0.507690387,490.2,509.2,20.6,506.6,510.6,20,-0.489566333,-0.583396667,-0.501269,-0.549975,-0.157487,0.41609,-0.568937667,-0.58171,-0.4962735,-0.54725,-0.469584333,-0.56459,-0.5070105,-0.56688
L157,399.2,404.3,20.4,0.547727569,0.527385653,0.499994176,0.468371765,0.433163642,374.6,371.2,19.9,379,367.6,19.4,-0.487309333,-0.577886667,-0.497086,-0.54856,-0.139881,0.39644,-0.570303,-0.5773,-0.4913465,-0.54916,-0.470292667,-0.564046667,-0.502863,-0.566555
L158,615.4,664.2,20.8,0.554955072,0.556093564,0.549425783,0.53265238,0.504841091,620.1,637.6,20.1,618.8,633.4,20,-0.490523667,-0.558103333,-0.5061075,-0.551485,-0.126079,0.38319,-0.563790333,-0.56494,-0.5108705,-0.555845,-0.487817333,-0.564223333,-0.5087465,-0.56508
L159,721.4,760.7,21.8,0.536983982,0.529527339,0.522421264,0.511110421,0.493902505,684,728.1,22.2,711,731.5,20.9,-0.490275667,-0.559446667,-0.4980345,-0.544865,-0.133513,0.39653,-0.561125,-0.56363,-0.5001805,-0.552405,-0.474466,-0.556556667,-0.502881,-0.559995
L16,477.5,501.3,19.5,0.426797109,0.431726758,0.423779351,0.409498945,0.3912627,455,464.4,19,460.2,464.2,18.6,-0.46516325,-0.500045,,,-0.130769,0.4798,-0.46113025,-0.5159225,,,-0.4649685,-0.5085275,,
L160,585.9,623.2,20.6,0.542567392,0.529266612,0.511985184,0.487558966,0.455374588,577.2,590.8,19.9,579.7,590.9,19.8,-0.489863,-0.557513333,-0.5028275,-0.549565,-0.131118,0.37182,-0.563580667,-0.56365,-0.508318,-0.55631,-0.483397333,-0.562606667,-0.506333,-0.563985
L161,546.5,575.5,20.5,0.541200026,0.513660235,0.483396618,0.448932406,0.409202414,528.5,543,19.9,528.8,540.5,19.8,-0.490228333,-0.55378,-0.502197,-0.548795,-0.122059,0.36482,-0.557673667,-0.551143333,-0.520345,-0.57025,-0.482613,-0.559973333,-0.5057565,-0.56425
L162,730.5,771.2,22.3,0.429466727,0.431391538,0.425596347,0.411128266,0.396692645,718.2,732.6,21.6,713.4,732.8,21.6,-0.4779855,-0.56574,-0.491395,-0.53971,-0.019825,0.503,-0.4455965,-0.55444,-0.492295,-0.54876,-0.438973,-0.53954,-0.502869,-0.564285
L163,885.9,1013.8,24.8,0.430427139,0.445191448,0.470159337,0.495841351,0.513668483,872.6,969.3,24.9,871.6,973.6,24,-0.4646045,-0.555985,-0.49293,-0.542455,-0.011612,0.53777,-0.427998,-0.54536,-0.4964535,-0.55742,-0.421867,-0.516865,-0.5044745,-0.568145
L164,856.2,938.5,24.2,0.420790468,0.429342968,0.450597512,0.46974505,0.479466069,833.1,895.3,23.8,835.6,902.8,23.4,-0.469681,-0.567715,-0.485153,-0.536785,-0.034228,0.52683,-0.438635,-0.55444,-0.490914,-0.552035,-0.4319145,-0.533245,-0.4976555,-0.56233
L165,1016.4,1089.5,22.3,0.436401224,0.445247318,0.450137439,0.452035876,0.45600686,963.6,1047.5,22.2,1000.8,1053,21.6,-0.4704275,-0.565335,-0.485237,-0.53574,-0.021687,0.51722,-0.4323835,-0.554775,-0.491283,-0.5559,-0.4325105,-0.53219,-0.4972745,-0.56182
L166,833.2,895.4,24,0.427171507,0.442733164,0.463479547,0.475723108,0.47697497,774,855.6,24.7,818.3,859.4,23.2,-0.4540635,-0.572805,-0.47568,-0.529895,-0.017898,0.52145,-0.4300265,-0.54281,-0.4945405,-0.56292,-0.425624,-0.540695,-0.488799,-0.55566
L167,793.3,833.4,22.8,0.424973955,0.427108164,0.430593086,0.42983443,0.424447508,761.7,792.9,22.9,773,798.5,22,-0.4681015,-0.566945,-0.4820395,-0.53485,-0.030664,0.51015,-0.435799,-0.55029,-0.494089,-0.55492,-0.433527,-0.536885,-0.494891,-0.56076
L168,816.7,855.9,22.6,0.422874072,0.42536688,0.429492406,0.429427099,0.425258879,761.4,809.5,22.9,798.8,816.7,21.9,-0.468316,-0.56679,-0.4874735,-0.53257,-0.033437,0.51047,-0.434307,-0.550215,-0.4926325,-0.54292,-0.4333085,-0.53662,-0.493328,-0.545095
L169,743.9,785.2,22.3,0.427708686,0.429352279,0.425375047,0.414860189,0.40356352,717.1,746.3,22.8,726.1,746,21.6,-0.468974,-0.56573,-0.481941,-0.53448,-0.017689,0.50724,-0.436169,-0.551375,-0.492546,-0.55469,-0.4341265,-0.53661,-0.494701,-0.56049
L17,511.5,548.2,21.2,0.422060164,0.43113081,0.428502376,0.416675718,0.399213594,494.1,508.3,20.9,498.6,512.6,20.4,-0.509228,-0.48598,,,-0.107086,0.48895,-0.47226025,-0.4827125,,,-0.493697,-0.4891075,,
L170,813.8,855.4,23.1,0.437036072,0.44054492,0.45114494,0.459499721,0.462747482,788.5,822.7,23.6,800.6,817.5,22.2,-0.467995,-0.565965,-0.4831275,-0.53482,-0.029482,0.51696,-0.4317855,-0.54558,-0.491961,-0.55563,-0.4342025,-0.53494,-0.495718,-0.56091
L171,841.9,900.2,22.9,0.430362026,0.431875745,0.42783265,0.417141239,0.405696422,798.6,854.6,23.4,824.4,861.9,22.2,-0.46839,-0.565745,-0.481983,-0.5342,-0.018445,0.50697,-0.4376985,-0.553455,-0.4884245,-0.55142,-0.432728,-0.535655,-0.4947965,-0.560365
L18,564.6,598.5,21.2,0.402168251,0.404424911,0.398446236,0.385427658,0.368831951,538.3,557.7,20.8,542.5,559.3,20.5,-0.510814,-0.4858,,,-0.072189,0.49661,-0.4743685,-0.48293,,,-0.494974,-0.4890575,,
