No,yield20,SlogP_VSA3,BCUT2D_CHGHI,NumAliphaticRings,PEOE_VSA10,LEAmin_Rest,NumAliphaticCarbocycles,LEAmin_CoL2,BCUT2D_LOGPHI,LEAmin_Free,fr_bicyclic,PEOE_VSA11,EState_VSA2,EState_VSA9,BCUT2D_LOGPLOW,BalabanJ,ALIEmin_Rest,ODI_Std_Rest,VSA_EState1,BCUT2D_MRLOW,Chi4n,MaxPartialCharge,Mol_Radius_CoL2,HOMO_LUMO_Gap_Rest,LUMO_CoL2,MinPartialCharge,LUMO_Free,EState_VSA5,ALIEmin_Free,Mol_Radius_Free,Mol_Size_L_CoL2,Pos_Surface_Area_Free,Nonpolar_Area_Rest,ALIEmax_Free,HOMO_LUMO_Gap_Free,BCUT2D_MWHI,LEAmax_Rest,Weight_CoL2,Mol_Size_L_Rest,MaxAbsEStateIndex,ODI_HOMO_1_Free,MaxAbsPartialCharge,MPI_CoL2,MinAbsEStateIndex,Nu_CoL2,MPP_Free,Overall_Average_CoL2,Len_Div_Diameter_CoL2,ESPmax_CoL2,ESPmax_Rest,VSA_EState4
L155,0,20.30370685,2.343046474,2,13.21376393,-40.7311,0,-40.92496,2.395938336,-40.3669,3,0.0,33.74364354,19.45853537,-2.248426239,1.825051257,6.39752,1.743034351,12.58206458,0.235437603,5.23650313,0.218239528,8.746,0.128394,-0.027537,-0.475117445,-0.04463,21.89935141,8.74239,8.313,14.709,1067.91754,0.0,14.19617,0.152818,16.49750245,-13.4425,589.69829,14.847,6.291032289,8.61,0.475117445,2.53943582,0.029592703,0.0,1.372093,-0.09332255,0.840898697,-24.83941,-27.80667,6.738357828
L156,0,9.473725908,2.260055507,2,13.21376393,-40.91368,0,-40.60731,2.287950143,-41.06342,0,0.0,12.08368166,19.45853537,-2.131132859,1.63914204,6.98092,4.38579739,11.84664333,0.291596487,3.458858873,0.218194961,7.032,0.123682,-0.026304,-0.475129529,-0.03768,0.0,8.35426,7.327,13.151,773.05335,0.0,14.59148,0.151433,16.4973867,-13.29573,451.448,13.155,5.923321664,10.6,0.475129529,2.89507569,0.207920045,0.0,1.469248,-0.10639208,0.93508248,-26.06564,-31.01387,3.864632832
L157,0,9.473725908,2.173755636,2,13.21376393,-40.65229,0,-39.40857,2.262865722,-40.53039,0,0.0,0.0,9.473725908,-2.083436011,1.693699678,6.9037,4.565177981,11.21796029,0.348241771,2.698458817,0.217894041,6.541,0.124846,-0.025665,-0.475454675,-0.038159,0.0,8.25522,6.538,12.259,570.60503,0.0,14.94606,0.151076,16.49579685,-13.60237,367.28829,12.265,5.608980143,11.08,0.475454675,3.11473966,0.643750525,0.0,1.045153,-0.11446458,0.93708913,-25.27974,-31.95379,3.848664966
L158,0,20.30370685,2.32289336,2,13.21376393,-40.12791,0,-40.00501,2.390407786,-39.58413,3,0.0,21.90783144,19.45853537,-2.167205781,1.888736516,6.38405,1.646215357,12.28589646,0.279335957,4.751515245,0.218489819,8.039,0.126735,-0.027804,-0.474849277,-0.045571,21.89935141,8.3425,8.341,14.816,973.80824,0.0,14.55965,0.149981,16.49867912,-13.54326,533.59182,14.816,6.142948229,8.15,0.474849277,2.60952298,0.019490106,0.0,1.059022,-0.09589821,0.92150765,-25.99865,-30.52456,6.165534062
L159,0,20.30370685,2.296632537,2,25.29744559,-40.58015,0,-40.35761,2.395902373,-39.55701,3,0.0,22.9136626,19.45853537,-2.132030166,1.453946538,6.42816,2.145522955,12.6609611,0.319643285,6.041102041,0.218571044,8.874,0.127236,-0.029973,-0.47475845,-0.047284,22.25380597,8.3773,8.827,15.821,1020.98761,0.0,14.59363,0.150372,16.49732766,-13.34441,629.67771,17.709,6.330480549,8.39,0.47475845,2.57096452,0.020241009,0.0,1.297946,-0.09448121,0.891424386,-24.16989,-22.05275,8.749152718
L160,0,20.30370685,2.276326569,2,13.21376393,-39.92246,0,-39.70461,2.382339315,-39.46995,3,0.0,22.9136626,19.45853537,-2.132068501,1.886754469,6.38515,1.680199021,12.05341788,0.323944926,4.549792479,0.218208548,8.042,0.127302,-0.027864,-0.475152318,-0.045544,21.89935141,8.34551,8.275,14.442,886.07802,0.0,14.76248,0.1506,16.49714035,-13.54078,505.53859,14.442,6.026708942,8.24,0.475152318,2.63926388,0.004107022,0.0,0.942257,-0.09699117,0.897910967,-24.9703,-30.07422,6.707025521
L161,0,20.30370685,2.260791473,2,13.21376393,-39.64335,0,-39.48205,2.378893481,-38.73362,3,0.0,10.82998094,9.473725908,-2.131986914,1.899037992,6.38183,1.654439104,11.80075413,0.348243644,4.302878338,0.21792821,7.935,0.127578,-0.02797,-0.475454296,-0.046926,21.89935141,8.41277,7.834,14.433,766.59536,0.0,14.93478,0.149111,16.49577658,-13.53872,477.48535,14.433,5.900377063,7.37,0.475454296,2.66868157,0.008742048,0.0,0.878331,-0.09807225,0.909451796,-24.87877,-30.33734,6.757275867
L17,0,0.0,2.376280483,2,0.0,-34.57856,0,-33.6834,2.294612193,-37.25973,0,11.67123957,12.08368166,9.984809465,-2.42103382,1.765611177,7.71077,1.19139624,0.0,0.520838986,3.830164693,0.171791113,6.915,0.163038,-0.069495,-0.321427333,-0.021501,11.37477255,8.08246,6.692,12.719,804.89458,243.81,14.31465,0.176746,15.35409193,-13.00201,435.47177,13.568,5.167017668,6.24,0.321427333,0.90529448,0.285768036,0.09960188,1.507463,0.00247469,0.91966739,34.83491,19.43714,2.376127068
L18,0,0.0,2.377289089,2,0.0,-36.03149,0,-34.62226,2.300390445,-37.27303,0,11.67123957,12.08368166,9.984809465,-2.421347218,1.762702199,7.67853,1.422152857,0.0,0.520834999,4.063703418,0.171791115,7.402,0.162475,-0.068152,-0.321426997,-0.019196,22.50167553,8.03229,7.031,13.707,949.22184,278.42,14.01085,0.175119,15.35418195,-13.01682,463.52501,14.132,5.206999402,6.7,0.321426997,0.87418148,0.27960265,0.08315451,1.747484,0.00406092,0.925898406,33.31571,18.72695,4.941220405
L25,0,0.0,2.36996278,2,0.0,-35.85453,0,-34.57676,2.318909794,-36.92903,0,11.67123957,0.0,9.984809465,-2.420422846,1.771688419,7.65436,1.5438001,0.0,0.514406818,5.420017599,0.171781213,8.091,0.162624,-0.066965,-0.321427657,-0.017803,22.50167553,8.03834,8.117,16.105,1104.42329,335.61,13.55101,0.175822,15.35292758,-12.97142,491.57824,16.13,5.359542076,5.86,0.321427657,0.82485413,0.290188177,0.08161833,1.658949,0.00394744,0.995241626,33.63518,18.24972,5.201466911
L26,0,10.82998094,2.373585285,2,0.0,-36.71207,0,-36.50044,2.335189712,-36.69044,0,11.67123957,22.9136626,9.984809465,-2.421533545,1.793654924,7.72975,1.460556401,0.0,0.514322757,5.597033133,0.171781214,8.42,0.162959,-0.066626,-0.321427476,-0.020147,22.50167553,7.9712,9.364,14.911,1171.5263,381.57,13.86243,0.16883,15.35302585,-13.00097,547.68471,15.153,5.390515519,14.73,0.321427476,0.80267731,0.09428711,0.07902784,1.303963,0.00440291,0.885451306,33.89491,18.39672,5.333522452
L37,0,0.0,2.14408716,0,0.0,-32.86676,0,-32.1219,2.315600724,-32.60226,0,0.0,0.0,0.0,-2.196167023,2.121010633,6.69693,2.658583975,0.0,1.735709509,2.178409504,-0.013435688,7.944,0.166519,-0.055632,-0.062222468,-0.018398,15.91361969,6.91468,6.013,15.396,520.50556,327.0,13.6714,0.195263,31.13152382,-13.09302,585.52131,15.396,2.227880658,7.38,0.062222468,0.58971737,0.445987654,0.0882463,1.183438,-0.00413307,0.969033233,21.22435,16.59413,0.0
L40,0,0.0,2.184838915,0,0.0,-32.75598,0,-32.25709,2.405258108,-32.88563,0,0.0,15.84317618,0.0,-2.193492906,1.638525235,6.33349,6.473505619,0.0,1.506739382,3.446296012,-0.019509103,8.015,0.160951,-0.057783,-0.062222829,-0.018812,33.54197964,6.80095,8.398,16.004,824.45207,227.25,13.67877,0.194567,31.13554085,-12.96165,459.36631,15.997,2.297622932,9.31,0.062222829,0.70846808,0.347916037,0.12633817,1.03486,-0.00080247,0.998378041,40.3909,25.03078,0.0
L41,0,0.0,2.279239376,0,0.0,-32.63148,0,-31.89517,2.493297414,-32.58812,0,0.0,15.84317618,0.0,-2.314087751,3.23330817,6.09671,4.577337518,0.0,0.788767804,1.754127593,-0.014143468,6.172,0.158069,-0.056654,-0.072288244,-0.015208,0.0,6.52812,5.939,12.021,609.46473,256.04,13.62143,0.176625,31.13514819,-12.99871,343.29072,12.019,2.430555556,13.49,0.072288244,0.79490299,0.100915638,0.09136967,1.538944,0.00193535,0.973833441,34.67463,18.09149,0.0
L42,0,0.0,2.406975547,2,0.0,-33.6479,0,-32.88176,2.74533812,-33.8218,0,0.0,15.84317618,0.0,-2.046778546,1.300707146,6.35867,7.331992823,0.0,0.76519865,6.716799966,0.004769741,7.607,0.182191,-0.056321,-0.090979973,-0.005244,38.00710655,6.54988,7.642,14.863,1052.37303,320.89,13.64766,0.207666,31.13576062,-12.99613,567.54749,14.863,2.396648505,13.26,0.090979973,0.69894135,0.100413179,0.13011426,1.971838,-0.0015756,0.976929144,34.75425,19.18624,9.314149809
L48,0,4.736862954,2.327570891,1,6.606881965,-40.01484,0,-39.93475,2.382638348,-40.78328,1,0.0,11.4568313,9.729267686,-2.259487175,1.78741849,6.62693,4.981653215,6.250004488,0.235672836,4.194894733,0.216766853,7.604,0.134764,-0.073655,-0.475155069,-0.055036,26.68606812,6.85093,7.785,14.673,807.18536,268.41,14.17064,0.15085,31.13152592,-13.08384,498.46263,14.474,6.250004488,7.22,0.475155069,0.65809134,0.071782255,0.09630536,1.789962,-0.00305576,0.964821147,29.85226,19.69987,1.191474138
L49,0,4.736862954,2.371539895,2,6.606881965,-40.33351,0,-40.15118,2.434831799,-40.59876,0,0.0,0.0,9.729267686,-2.445950873,1.702185262,6.45028,4.003251023,8.822773054,0.245243924,3.923269606,0.201446582,7.434,0.169399,-0.046881,-0.47754659,-0.021183,23.45072304,6.72665,7.228,14.787,753.41297,273.66,14.0628,0.169114,31.13773907,-12.89156,441.41286,14.829,6.137217498,6.29,0.47754659,0.68888149,0.300021626,0.08609476,1.370851,-0.00114487,0.994552058,29.85414,17.66979,0.0
L53,0,10.98560706,2.263623003,0,0.0,-37.92179,0,-36.81837,2.380317928,-37.90065,0,0.0,10.78886328,0.0,-2.372460314,1.965812154,6.36272,7.32962951,16.03141596,0.617630491,2.960390073,0.097553769,7.49,0.181214,-0.050479,-0.242371737,-0.018554,16.17253128,6.82827,7.828,14.966,838.12509,185.39,13.704,0.195228,32.20289822,-12.86156,470.47374,14.962,12.91002745,23.61,0.242371737,0.8350898,0.021094157,0.16383212,1.303242,0.00041271,0.999065421,56.14838,44.88581,1.180057634
L54,0,10.98560706,2.281056663,0,0.0,-37.29703,0,-34.67845,2.367207392,-37.34849,0,0.0,10.78886328,0.0,-2.37745819,1.893636227,6.46917,7.43935145,16.34887322,0.623794996,3.757032844,0.097860829,8.087,0.172615,-0.047924,-0.242360814,-0.02654,21.47707118,7.07982,7.726,15.132,899.69684,242.02,13.74332,0.185371,32.20289828,-13.084,532.5433,15.143,13.24805689,10.88,0.242360814,0.71624702,0.180664053,0.09686553,1.605844,-0.00321751,0.935575615,45.55242,36.85045,2.276611657
L55,0,33.14535009,2.292656022,2,13.21376393,-39.08764,0,-39.60926,2.38603146,-39.4115,3,0.0,22.9136626,19.45853537,-2.132404468,1.376302884,8.43231,1.131820988,12.71175116,0.316805169,6.413767671,0.218230684,10.177,0.154172,-0.029443,-0.475127377,-0.015252,33.0262544,6.60992,10.158,17.273,0.0,413.87,13.64075,0.128185,16.49729224,-13.11235,657.73094,17.362,6.35587558,8.59,0.475127377,2.41449976,0.052667004,0.0,1.162405,-0.08873124,0.848629262,-17.86499,17.96164,9.0778033
L56,0,0.0,2.217481696,0,11.16604028,-36.98002,0,-36.84579,2.42431061,-37.14374,7,0.0,0.0,8.393465409,-2.337234989,2.065054136,7.26523,11.13894519,15.63137613,0.570333035,4.42555851,0.309666093,7.731,0.094537,-0.107969,-0.407767292,-0.045609,21.54489686,7.71546,7.662,14.664,784.43434,217.84,13.80846,0.156518,31.1212149,-13.05081,476.41394,14.312,6.649718679,4.91,0.407767292,0.57316451,0.307429558,0.22262509,1.324,-0.00143209,0.9483896,61.05507,20.81429,1.780026245
L60,0,4.736862954,2.276502374,1,6.606881965,-39.81248,0,-39.59739,2.345201871,-39.67951,0,0.0,6.041840829,9.729267686,-2.249954182,1.811021489,6.44584,6.00040207,6.097541572,0.282296222,3.531183573,0.216733497,8.188,0.159552,-0.063727,-0.475166831,-0.038558,15.91361969,6.89465,7.902,16.226,738.55605,258.86,13.79825,0.171345,31.13152517,-13.09754,448.4038,16.257,6.097541572,12.02,0.475166831,0.67137505,0.257161544,0.09141766,1.764359,-0.0016974,0.990840254,27.85682,17.20424,1.131592866
L61,0,4.736862954,2.259837618,1,6.606881965,-39.67101,0,-39.52401,2.343932802,-39.5826,0,0.0,6.041840829,9.729267686,-2.249953864,1.788632906,6.44703,5.905951977,6.075458239,0.301399093,3.658526409,0.216723342,8.211,0.15891,-0.064489,-0.475178257,-0.034854,15.91361969,6.88278,8.671,16.41,763.71341,262.64,14.64655,0.180426,31.13152517,-12.92489,448.4038,16.414,6.075458239,12.18,0.475178257,0.67815365,0.266420803,0.09442019,1.236109,-0.00174354,0.999269273,29.32035,18.28244,1.132012367
L62,0,4.736862954,2.307468337,2,6.606881965,-40.03423,1,-39.71451,2.355550522,-36.97796,0,0.0,0.0,9.729267686,-2.249955838,1.545277311,6.4361,6.064243564,6.227802343,0.240520057,4.728033267,0.216733673,8.449,0.158983,-0.064101,-0.475166628,-0.039218,48.0177278,6.84741,8.357,16.765,851.6971,280.81,13.91835,0.17452,31.13152533,-13.11283,474.44116,16.794,6.227802343,11.78,0.475166628,0.64729627,0.326883766,0.09648038,1.275023,-0.00210199,0.992129246,27.28837,17.91605,1.161691363
L63,0,4.736862954,2.263380511,1,12.64872279,-39.68321,0,-39.50019,2.350684485,-39.103,0,0.0,6.041840829,9.729267686,-2.249953435,1.59861561,6.46072,6.311815805,6.12898715,0.31973095,3.798034109,0.217075246,7.824,0.155984,-0.066519,-0.474796332,-0.041486,21.47707118,6.99805,7.59,15.546,680.63853,238.23,14.54953,0.169797,31.13152532,-13.08934,468.39351,15.557,6.12898715,7.27,0.474796332,0.72901371,0.049939321,0.08935985,1.876513,-0.0040797,0.993481595,29.47864,18.64544,2.285289363
L64,0,4.736862954,2.268380699,1,6.606881965,-39.97145,0,-39.78851,2.34403787,-39.23431,0,0.0,6.041840829,9.729267686,-2.249953945,1.839608925,6.4435,6.166005595,6.035874906,0.291714656,3.309122286,0.216733324,7.586,0.158816,-0.064872,-0.475167029,-0.041096,15.91361969,6.77855,7.467,15.061,708.78617,242.79,14.06422,0.169278,31.13152509,-12.99535,434.37719,15.101,6.035874906,10.7,0.475167029,0.68860358,0.243272655,0.0951999,1.399094,-0.00177613,0.992683891,28.40114,18.89963,1.124506698
L65,0,17.08945999,2.346251995,1,12.3563938,-43.18908,0,-43.11872,2.389119379,-43.15173,0,0.0,11.4568313,14.46613064,-2.26009546,1.899441548,6.65002,4.503206496,90.94385501,-0.137945343,3.999505765,0.415910269,8.445,0.160338,-0.063844,-0.496741554,-0.040762,31.37526582,7.02956,8.756,16.524,974.03425,291.49,16.2597,0.171037,31.13152628,-13.20832,614.42583,16.439,13.26017288,8.64,0.496741554,0.65409121,0.125076881,0.17165475,1.701898,0.00313705,0.978330373,38.16913,29.2939,-1.209244354
L66,0,23.26575851,2.370119083,1,6.606881965,-43.19406,0,-43.10831,2.399163947,-43.21435,0,0.0,45.43852979,4.736862954,-2.268325621,1.943590011,6.81935,6.246539042,126.3432274,-0.137954524,4.069750839,0.41593498,8.127,0.152617,-0.078076,-0.475155178,-0.051154,30.33183534,7.18566,8.414,16.034,1063.73659,292.86,16.34645,0.175925,31.13152656,-13.39127,652.39782,16.022,13.72332053,10.13,0.475155178,0.66199088,0.020850051,0.16373714,1.742493,0.00698214,0.98646487,36.39781,24.0091,-3.278348082
L67,0,17.08945999,2.342646255,1,6.606881965,-43.16355,0,-43.09952,2.380865692,-43.1698,0,0.0,11.4568313,9.729267686,-2.257909211,1.848261455,6.71482,6.450276641,85.07516379,-0.137945343,3.840571185,0.415910269,8.478,0.165689,-0.065516,-0.475155324,-0.043504,24.26546827,7.07281,8.554,16.378,903.94494,286.73,16.27738,0.17853,31.13152609,-13.06085,584.39981,16.349,13.1906651,11.47,0.475155324,0.66159452,0.079701787,0.15441735,1.361674,0.00401446,0.965911772,33.57006,22.68431,-1.04680608
L68,0,9.473725908,2.377972057,2,12.08368166,-36.3443,0,-36.10308,2.474020072,-36.51687,2,12.20793278,24.29161443,19.45853537,-2.116531766,1.206723883,6.62149,3.659674678,14.05474638,0.196582163,8.107778637,0.217704897,8.145,0.14535,-0.06316,-0.466566478,-0.044552,0.0,6.98741,7.763,15.726,919.49035,332.27,13.64733,0.153753,16.51077942,-13.09916,683.62308,15.727,7.027373188,5.1,0.466566478,0.59217375,0.212305678,0.08236139,2.459841,-0.00255711,0.965377532,21.78827,15.18149,8.363793289
L105,1,9.473725908,2.602332184,3,17.49867213,-41.51223,1,-40.9794,2.572320169,-41.92678,0,12.20793278,24.29161443,19.45853537,-2.271738555,1.262608337,8.222,0.823084898,13.45060658,0.170423691,5.520441905,0.200150776,9.26,0.22112,-0.03958,-0.469312125,-0.008836,0.0,8.522,9.29,18.512,940.01034,271.09,14.3181,0.223539,16.52644278,-13.12236,545.53792,18.511,6.725303288,4.7,0.469312125,0.80882944,0.103779057,0.09422713,1.628946,-0.00322694,0.999568035,32.31643,21.89434,4.169588303
L111,1,22.31536915,2.499671292,3,18.6287544,-40.71698,1,-40.19606,2.441187365,-41.17523,0,11.79549069,17.49867213,19.45853537,-2.370980539,1.338838078,8.10083,1.087428159,12.3603565,0.251675285,4.833627032,0.199160725,9.852,0.229383,-0.038372,-0.477911634,-0.001467,23.96854623,8.23064,8.966,19.683,884.63667,295.62,14.20615,0.232245,16.51256124,-13.12483,449.45203,19.683,6.180178251,8.62,0.477911634,0.74879182,0.187031259,0.08656952,1.244861,0.00063172,0.998934227,28.9835,16.79133,2.379222762
L112,1,35.1570124,2.518948837,3,18.6287544,-41.07861,1,-40.50753,2.428483208,-41.53621,1,11.79549069,12.08368166,19.45853537,-2.406543547,1.298611454,8.14599,1.617704778,12.62280548,0.253207931,5.344940854,0.199861984,9.857,0.229607,-0.040633,-0.477894703,-0.000846,22.25380597,8.33244,8.435,19.633,915.01208,295.68,14.74686,0.228059,16.5125813,-13.1182,497.49497,19.648,6.311402741,4.58,0.477894703,0.69738532,0.129727782,0.1055878,1.189786,0.00100393,0.995891245,29.76347,17.51134,4.829926204
L113,1,22.31536915,2.481108385,3,18.6287544,-41.58387,1,-41.10898,2.417592987,-41.66481,0,11.79549069,17.49867213,19.45853537,-2.394061537,1.37815664,8.0398,2.276778151,12.58257872,0.239093774,5.187180422,0.199160724,9.84,0.229083,-0.038531,-0.477911634,-0.00114,36.81018948,8.38855,8.615,19.664,915.59483,326.57,14.21437,0.230691,16.51252469,-13.12843,477.50527,19.664,6.291289362,5.61,0.477911634,0.71458457,0.180228538,0.07823166,1.188176,0.00133186,0.999186992,28.49215,16.41829,2.356203214
L118,1,22.31536915,2.501609688,2,18.6287544,-43.55485,0,-43.01656,2.438402703,-42.21259,4,11.79549069,12.08368166,19.45853537,-2.441032389,1.45293841,8.03499,0.093641604,13.56478269,0.237173066,7.642271047,0.199861661,8.168,0.125296,-0.065521,-0.477896469,-0.056431,54.2166967,8.44098,8.019,15.886,1084.76744,319.33,14.41723,0.123278,16.51267254,-13.05313,679.75645,15.886,6.782391345,3.92,0.477896469,0.70378206,0.084071397,0.09388964,1.557419,-0.00300021,0.972453477,32.37889,19.26676,1.802083123
L128,1,9.473725908,2.356286089,2,12.20793278,-40.11807,0,-39.53016,2.226589319,-39.7374,0,0.0,11.13997606,9.473725908,-2.26661591,2.126065982,3.33901,14.84912792,11.05990741,0.130440685,1.393710169,0.273284635,5.846,0.051576,-0.033707,-0.471522649,-0.033864,0.0,8.40199,5.915,11.304,570.67987,0.0,14.63067,0.210203,16.56092091,-13.48668,196.24663,11.29,5.620231481,11.79,0.471522649,0.58650981,0.144894652,0.05831001,1.177767,-0.00166785,0.966814916,21.28902,-16.89925,-0.359233749
L144,1,33.14535009,2.500980421,4,18.6287544,-42.50624,2,-41.89667,2.41500768,-42.57933,0,11.79549069,22.9136626,19.45853537,-2.439198354,1.425344669,7.96045,0.596217242,13.53405549,0.21212254,8.22174385,0.199860406,9.267,0.222535,-0.031279,-0.477896077,0.000698,86.4620222,8.07426,9.643,17.9,1306.90264,474.11,14.26707,0.222929,16.512698,-13.29274,671.86203,17.899,6.767027746,4.59,0.477896077,0.58962558,0.113242501,0.10754934,2.208113,-0.00317239,0.965792597,29.13986,17.49186,4.938604462
L145,1,22.31536915,2.452051296,4,24.29161443,-40.41895,2,-40.13048,2.430175383,-40.17035,6,0.0,24.29161443,19.45853537,-2.219911346,1.335459352,8.35737,2.940140303,12.19841553,0.186738994,4.403665773,0.273682053,8.12,0.192532,-0.08183,-0.467755967,-0.042611,22.25380597,8.54617,8.211,15.743,634.36509,154.28,14.93825,0.193406,16.56061172,-13.18871,377.30306,15.741,6.099207766,7.37,0.467755967,0.86281292,0.092802606,0.13288169,1.195018,-0.00135118,0.969396552,36.68066,21.81847,5.244467809
L23,1,0.0,2.380200116,2,0.0,-36.38724,0,-36.19083,2.320256437,-37.00137,0,11.67123957,12.08368166,9.984809465,-2.422256545,1.786940966,7.79367,1.379898094,0.0,0.520804707,4.717898011,0.171791271,7.702,0.166219,-0.065332,-0.321416895,-0.015622,22.50167553,8.12998,7.936,14.707,1091.91573,318.24,13.59494,0.178493,15.35444064,-13.00205,519.63148,14.871,5.299076279,6.37,0.321416895,0.83982511,0.266068962,0.07178879,2.215628,0.00465949,0.954752012,37.18145,21.65616,5.165617336
