No,yield20,SlogP_VSA3,BCUT2D_CHGHI,NumAliphaticRings,PEOE_VSA10,LEAmin_Rest,NumAliphaticCarbocycles,LEAmin_CoL2,BCUT2D_LOGPHI,LEAmin_Free,fr_bicyclic,PEOE_VSA11,EState_VSA2,EState_VSA9,BCUT2D_LOGPLOW,BalabanJ,ALIEmin_Rest,ODI_Std_Rest,VSA_EState1,BCUT2D_MRLOW,Chi4n,MaxPartialCharge,Mol_Radius_CoL2,HOMO_LUMO_Gap_Rest,LUMO_CoL2,MinPartialCharge,LUMO_Free,EState_VSA5,ALIEmin_Free,Mol_Radius_Free,Mol_Size_L_CoL2,Pos_Surface_Area_Free,Nonpolar_Area_Rest,ALIEmax_Free,HOMO_LUMO_Gap_Free,BCUT2D_MWHI,LEAmax_Rest,Weight_CoL2,Mol_Size_L_Rest,MaxAbsEStateIndex,ODI_HOMO_1_Free,MaxAbsPartialCharge,MPI_CoL2,MinAbsEStateIndex,Nu_CoL2,MPP_Free,Overall_Average_CoL2,Len_Div_Diameter_CoL2,ESPmax_CoL2,ESPmax_Rest,VSA_EState4
L51,1,11.15768458,2.303398783,1,6.606881965,-41.0553,0,-40.89663,2.343778631,-40.61427,0,5.897745344,11.4568313,9.729267686,-2.248353484,1.724101855,6.5315,5.941735857,5.999379934,0.233463039,3.586552517,0.187737327,7.53,0.173959,-0.048104,-0.478429446,-0.020214,21.47707118,6.92273,8.796,14.991,772.27514,269.72,13.81617,0.193449,31.13152523,-13.11323,462.43042,15.027,5.999379934,16.61,0.478429446,0.67032954,0.126948142,0.0939416,1.453815,-0.00097276,0.995418327,29.04771,16.72678,1.432157788
L57,1,4.736862954,2.319497399,1,6.606881965,-40.54014,0,-40.46671,2.351475724,-39.64931,0,0.0,11.4568313,9.729267686,-2.249995525,1.834792303,6.46724,5.925179322,6.101083239,0.23566743,3.395734654,0.216743722,7.761,0.162964,-0.061492,-0.475155324,-0.035528,15.91361969,6.87832,8.083,15.493,753.68789,253.8,13.96842,0.179529,31.13152517,-13.10166,448.4038,15.499,6.101083239,11.86,0.475155324,0.68818603,0.097508469,0.09423134,1.298155,-0.00174446,0.998131684,30.36336,19.36609,1.216089241
L58,1,4.736862954,2.324100228,1,12.3563938,-40.18195,0,-40.11081,2.363573912,-39.73297,0,0.0,11.4568313,14.46613064,-2.252486964,1.883834019,6.37967,4.801465271,11.69637103,0.235633536,3.554669233,0.216883504,7.469,0.151048,-0.063269,-0.496741554,-0.032645,15.91361969,6.81032,8.082,14.519,763.02791,239.42,15.10031,0.171606,31.13152535,-13.12139,478.42983,14.642,6.145028817,12.4,0.496741554,0.70640803,0.059895681,0.09358961,1.312384,-0.00129985,0.97195073,34.38483,25.18053,1.087596823
L59,1,10.91316147,2.356593735,1,6.606881965,-43.2495,0,-43.14609,2.378739388,-43.18561,0,0.0,11.4568313,9.729267686,-2.261892403,1.92486298,6.57819,5.144644667,46.77358902,-0.137130646,3.624914308,0.41593498,7.455,0.147624,-0.073852,-0.475155178,-0.051486,6.066367068,6.91786,7.537,14.458,797.05006,265.26,16.26438,0.162268,31.13152563,-13.10168,516.40181,14.417,13.62406088,11.72,0.475155178,0.67784535,0.111508146,0.09710548,1.458575,0.00181699,0.969684775,31.93925,20.56107,-0.420481159
L95,1,22.31536915,2.542684037,5,29.7066049,-41.67663,3,-41.36814,2.507216007,-41.76414,6,11.79549069,29.7066049,19.45853537,-2.427202134,1.277407819,8.03868,0.749149518,13.20775888,0.148867534,6.339663017,0.199804112,8.218,0.226864,-0.038901,-0.473867123,-0.004326,41.51627084,8.33933,7.72,15.783,759.28245,263.36,14.74742,0.230496,16.52579302,-13.20106,459.44688,15.783,6.603879441,8.42,0.473867123,0.79193212,0.136324337,0.07954056,1.292628,-0.00055527,0.960270139,28.59872,17.78601,5.172075038
L98,1,22.31536915,2.446384428,4,30.20952048,-40.67721,2,-40.27297,2.432926092,-41.20081,6,11.79549069,30.20952048,19.45853537,-2.256584921,1.275862184,8.0769,1.040348499,12.44562925,0.183548798,4.770702638,0.196274716,8.169,0.228398,-0.039278,-0.47407602,-0.00517,22.25380597,8.32681,8.785,15.684,676.8563,210.52,14.79988,0.231158,16.52384135,-13.1962,405.3563,15.684,6.222814626,7.19,0.47407602,0.84350225,0.022662509,0.11282808,1.251157,-0.00203052,0.959970621,32.81265,18.48834,5.330231401
L1,1,22.31536915,2.60988784,5,29.7066049,-40.65088,3,-40.26798,2.560948015,-40.81184,6,11.79549069,29.7066049,19.45853537,-2.295566181,1.230163942,8.10193,1.44333598,12.77664777,0.179175672,5.309332931,0.199805815,8.156,0.226477,-0.037755,-0.473867114,-0.01044,22.25380597,8.32635,6.092,15.643,681.43225,208.47,14.5875,0.223807,16.52656059,-13.19581,417.36703,15.634,6.388323885,6.23,0.473867114,0.88769815,0.148984957,0.10341862,1.555786,-0.00228204,0.958987249,30.18673,18.35631,5.209909925
L10,1,22.31536915,2.611233303,5,29.7066049,-40.60705,3,-40.22333,2.566105671,-41.3014,6,11.79549069,29.7066049,19.45853537,-2.295575632,1.013596818,8.11003,0.056291651,13.34294546,0.17917851,8.046206421,0.199805817,10.241,0.188676,-0.037941,-0.473867111,-0.023546,66.7614179,8.29672,10.788,19.928,1186.24204,384.77,14.71884,0.190233,16.52660626,-13.25397,625.66586,19.927,6.67147273,8.16,0.473867111,0.74579546,0.051762876,0.15826366,1.416719,-0.00780714,0.97295186,29.4222,18.26546,15.26917794
L100,1,35.1570124,2.544034168,4,41.34104659,-42.89178,2,-42.92689,2.486560188,-42.73978,6,0.0,35.92605612,19.45853537,-2.450592744,1.285733687,8.16572,0.775580428,41.47461863,0.161886752,7.022991944,0.200504992,8.28,0.219665,-0.039128,-0.473850192,-0.011214,46.51927424,8.31085,7.88,16.495,945.43632,214.76,15.74086,0.217072,19.14352775,-13.22212,607.5562,16.496,13.96702256,3.8,0.473850192,0.85932056,0.106074672,0.14317251,1.820613,-0.00228933,0.996074879,33.85345,22.62095,5.826932003
L101,1,45.98699334,2.563543858,12,29.7066049,-42.54351,10,-42.1281,2.621329446,-42.64605,6,0.0,24.29161443,19.45853537,-2.482047364,0.875239998,8.1026,3.164178408,14.49544954,-0.005309368,16.69917656,0.200504992,10.903,0.213574,-0.035284,-0.473850192,-0.00574,110.4305684,8.24659,10.646,21.612,1538.95062,495.81,14.71419,0.213444,16.52588782,-12.97266,840.01233,21.612,7.24772477,6.21,0.473850192,0.56021478,0.013632594,0.13642919,2.257685,-0.00352842,0.991103366,30.10794,19.37489,11.33150358
L102,1,22.31536915,2.527931565,4,29.7066049,-41.88227,2,-41.49972,2.499292762,-42.04899,8,11.79549069,24.29161443,19.45853537,-2.403187726,0.990599839,8.12765,0.178237903,13.68398157,0.159808227,8.995903077,0.199782112,10.555,0.165346,-0.040072,-0.473867374,-0.039812,66.05250879,8.46622,10.343,20.636,1077.08583,365.6,14.43368,0.166025,16.52580727,-13.13409,699.74616,20.635,6.841990784,6.95,0.473867374,0.69960515,0.009930341,0.1430134,1.717139,-0.00563769,0.977546187,29.84069,19.5896,9.742917538
L103,1,35.1570124,2.546301548,4,29.7066049,-42.48263,2,-42.14288,2.50207275,-41.98665,8,0.0,24.29161443,19.45853537,-2.450380614,0.980327559,8.14757,0.040311289,14.40929619,0.161896475,10.39459845,0.200504995,10.734,0.164591,-0.039708,-0.473850189,-0.040385,77.17941177,8.53935,11.656,21.174,1151.34453,364.16,14.85719,0.163855,16.52587381,-13.1154,823.88528,21.175,7.204648097,7.46,0.473850189,0.72151079,0.084100481,0.14313464,1.553611,-0.0066184,0.986305198,31.36612,20.73395,11.68337868
L104,1,35.1570124,2.546659201,4,29.7066049,-41.91426,2,-41.40554,2.505099507,-38.42961,8,0.0,24.29161443,19.45853537,-2.450380756,0.986995269,8.0511,0.209568008,14.48309287,0.161896414,10.94370815,0.200504995,10.296,0.168778,-0.042458,-0.473850189,-0.036413,88.30631476,8.60892,10.224,19.304,1318.77071,447.54,14.53378,0.169157,16.52587978,-13.10149,851.93851,19.29,7.241546436,8.37,0.473850189,0.64323067,0.089344385,0.15667139,1.896362,-0.00388502,0.937451437,30.51242,20.73426,14.36008528
L109,1,9.473725908,2.512123199,4,30.71243606,-42.76417,2,-42.19668,2.486034417,-42.49286,0,11.79549069,17.49867213,19.45853537,-2.427721347,1.39708071,8.16299,0.312599984,13.09726096,0.204516199,6.901824047,0.199523136,7.539,0.229582,-0.037614,-0.477542515,-0.001765,62.49347597,8.34426,8.391,14.363,897.61153,346.48,14.45482,0.237143,16.5126057,-13.14333,531.59585,14.363,6.54863048,11.38,0.477542515,0.7379299,0.059865243,0.07559507,1.932472,-0.0030478,0.952579918,29.82132,19.02382,2.12593789
L11,1,22.31536915,2.611044241,5,29.7066049,-40.64947,3,-40.26023,2.565456707,-40.85814,6,11.79549069,29.7066049,19.45853537,-2.295575316,1.022149639,8.10268,0.630357042,13.22172234,0.179179203,7.024720235,0.199805817,9.096,0.190872,-0.03862,-0.473867111,-0.025646,44.50761193,8.46718,10.872,17.458,916.38021,281.11,14.71169,0.192037,16.52659497,-13.1183,569.55939,17.455,6.610861168,4.15,0.473867111,0.81745023,0.061848715,0.15274835,1.286132,-0.00628665,0.959652595,30.24894,18.95359,10.001118
L110,1,22.31536915,2.576310111,3,18.6287544,-41.37665,1,-41.19436,2.509486106,-41.73233,0,11.79549069,17.49867213,19.45853537,-2.260980129,1.276489167,8.04868,0.339926463,12.0403565,0.278659532,3.980073641,0.199162427,6.96,0.230155,-0.037082,-0.477911625,0.000131,11.12690298,8.25913,6.816,13.908,684.89897,214.57,14.70773,0.231926,16.51332149,-13.16261,421.3988,13.907,6.020178251,4.54,0.477911625,0.81072636,0.183655045,0.09996522,1.268132,0.00147567,0.999137931,33.72188,21.66806,2.42436165
L116,1,28.53652618,2.586140029,3,18.6287544,-40.89454,1,-41.24075,2.508406754,-40.61456,0,23.87917235,25.4216967,18.94745182,-2.261149004,1.687720368,8.27271,1.523144363,21.63639521,-0.149650002,2.778701508,0.334341463,7.882,0.234569,-0.041325,-0.477262713,-0.004802,0.0,8.44777,7.863,15.343,853.06689,216.33,15.04266,0.235299,16.55960952,-12.87855,413.332,15.321,11.98198739,14.63,0.477262713,0.94105679,0.161444768,0.14109389,1.162071,-0.00386784,0.97329358,35.1594,22.26141,-0.541943027
L12,1,22.31536915,2.611470231,5,29.7066049,-40.616,3,-40.1827,2.567348307,-40.89133,6,11.79549069,29.7066049,19.45853537,-2.295576805,1.021769919,8.08362,1.144363906,13.42002665,0.179178827,8.98612777,0.199805817,9.22,0.211736,-0.03769,-0.473867111,-0.007948,77.88832088,8.47157,11.352,17.218,1090.69073,414.95,14.60552,0.21293,16.52661235,-13.27151,653.71909,17.217,6.710013323,4.69,0.473867111,0.69551446,0.04561203,0.17451787,1.108526,-0.00629001,0.93373102,30.41226,18.89342,18.20993874
L13,1,22.31536915,2.52480412,4,29.7066049,-40.59445,2,-40.30985,2.483288285,-41.80375,6,11.79549069,29.7066049,19.45853537,-2.403181123,1.372306643,7.98431,0.487102402,13.01664777,0.159806075,5.611504889,0.199782109,7.936,0.22383,-0.043013,-0.473867377,-0.005044,22.25380597,8.31207,7.058,15.5,720.93202,253.44,14.63587,0.228908,16.52575115,-13.2007,447.43615,15.493,6.508323885,10.61,0.473867377,0.77102835,0.11194792,0.09668024,1.375506,-0.00095545,0.9765625,30.08623,18.69042,4.995199041
L137,1,33.47305373,2.538487908,6,41.85241212,-42.40107,3,-42.00684,2.489731352,-41.95315,9,5.897745344,36.43742165,29.18780306,-2.408145977,1.098282851,8.12867,2.210467993,19.86442306,0.161537909,7.526280253,0.20005412,9.084,0.223926,-0.039851,-0.474673159,-0.005826,33.38070895,8.30758,8.968,17.907,895.51063,298.04,14.81515,0.227117,16.52928312,-13.19704,576.55197,17.826,6.676176272,7.62,0.474673159,0.67381617,0.009672652,0.11445597,1.758951,-0.00217774,0.985634082,27.71875,17.57973,7.097133367
L143,1,33.14535009,2.530792523,2,17.49867213,-42.82579,0,-42.14396,2.502132106,-42.60132,0,12.20793278,35.12159537,19.45853537,-2.441835932,1.35064222,8.13354,0.598372793,14.72786565,0.153964211,8.274779427,0.20084995,9.091,0.212678,-0.03642,-0.469295202,-0.014486,22.25380597,8.30043,9.476,17.832,1295.99438,473.03,14.10674,0.207084,16.52572369,-13.10172,811.9591,17.826,7.363932823,8.74,0.469295202,0.62401715,0.027116017,0.0904193,2.118037,-0.00532312,0.980750192,32.08515,22.68665,8.480593139
L162,1,22.31536915,2.611413479,5,29.7066049,-40.59237,3,-40.27599,2.567340084,-40.85786,8,11.79549069,29.7066049,19.45853537,-2.2955756,0.913764687,8.10084,1.687533333,13.44398157,0.179178778,8.693731119,0.199805817,10.64,0.166299,-0.04009,-0.473867111,-0.039351,66.05250879,8.46665,10.569,19.765,1033.85968,325.8,14.7044,0.166681,16.52661678,-13.12359,669.67704,19.764,6.721990784,3.85,0.473867111,0.77037347,0.025818211,0.14568959,1.575658,-0.00708149,0.928806391,30.16213,18.61411,9.987422661
L163,1,35.1570124,2.546496927,4,29.7066049,-42.47435,2,-42.08094,2.503474407,-41.67233,8,0.0,24.29161443,19.45853537,-2.450380616,0.978578055,8.15493,0.038971143,14.46000714,0.16189629,10.843263,0.200504995,10.913,0.162167,-0.038756,-0.473850189,-0.038737,88.30631476,8.4221,9.838,21.738,1282.13983,412.36,14.5857,0.165687,16.52587964,-13.15724,851.93851,21.739,7.230003572,6.06,0.473850189,0.66125812,0.087914204,0.15772465,1.617459,-0.00551275,0.995968111,31.28944,20.3693,14.28731411
L164,1,22.31536915,2.528731629,4,29.7066049,-42.07173,2,-41.61409,2.507428936,-41.4237,10,11.79549069,24.29161443,19.45853537,-2.403187867,0.914729716,8.12548,0.121037184,13.9062408,0.159807779,10.66698545,0.199782112,10.578,0.128678,-0.058712,-0.473867374,-0.061389,87.59740565,8.27032,11.462,20.959,1179.31475,372.08,14.56741,0.127864,16.52582924,-13.14267,799.86381,20.959,6.953120399,4.63,0.473867374,0.71422924,0.021026099,0.13538153,1.43615,-0.00550854,0.990688221,30.21528,20.2126,9.729222199
L165,1,43.97533103,2.529154013,4,29.7066049,-42.0922,2,-41.61086,2.502257578,-42.18028,6,11.79549069,45.95157631,19.45853537,-2.40318796,1.118368754,8.11327,0.197547463,13.871294,0.159806306,9.386251934,0.199782112,11.59,0.186807,-0.037895,-0.473867374,-0.02351,66.7614179,8.28912,10.379,22.892,1530.65672,618.84,14.53687,0.187843,16.52583289,-13.26109,824.05438,22.889,6.935647002,4.2,0.473867374,0.59008653,0.000378396,0.14761022,2.28387,-0.00783277,0.987575496,28.82961,17.33049,15.5531126
L166,1,22.31536915,2.500711457,4,29.7066049,-40.65275,2,-40.33821,2.491154515,-38.32989,10,11.79549069,24.29161443,19.45853537,-2.358952642,0.890834226,8.00025,0.145322916,13.5412408,0.169897845,9.956742844,0.199222152,9.676,0.128281,-0.059908,-0.473882175,-0.060918,87.59740565,8.52067,10.039,18.952,1120.78249,355.91,14.39041,0.127814,16.52559433,-13.14972,771.81057,18.951,6.770620399,3.59,0.473882175,0.72084265,0.023989062,0.15202965,1.95269,-0.00556219,0.979330302,34.14713,22.81706,9.571414082
L167,1,22.31536915,2.500234532,4,29.7066049,-41.68082,2,-41.25581,2.48450238,-40.59172,8,11.79549069,24.29161443,19.45853537,-2.358952817,0.970501018,8.08426,0.965954838,13.39277825,0.169898148,8.834770173,0.199222152,9.414,0.17034,-0.03802,-0.473882175,-0.037155,77.17941177,8.33244,9.942,17.422,1131.78139,391.89,14.57889,0.168145,16.52557843,-13.15452,699.74616,17.419,6.696389123,8.29,0.473882175,0.69933711,0.001723474,0.13609005,1.359298,-0.00608613,0.925323986,29.23057,19.23672,12.28115634
L168,1,22.31536915,2.500710217,4,41.20562857,-41.72132,2,-41.29721,2.492188635,-41.87147,8,11.79549069,24.29161443,28.93226128,-2.35895264,0.972983243,8.05849,0.085732141,25.09719447,0.16989797,8.746146827,0.199222152,9.576,0.159717,-0.036136,-0.496090333,-0.036524,43.79870282,8.32536,9.274,18.592,1038.54028,330.0,15.08418,0.158977,16.52609737,-13.17543,731.74497,18.591,6.691329678,8.27,0.496090333,0.75931655,0.042221579,0.09894685,1.835145,-0.00896401,0.970760234,26.91482,22.37519,8.857225396
L169,1,22.31536915,2.499760927,4,29.7066049,-41.66761,2,-41.24791,2.480650648,-41.71293,8,11.79549069,24.29161443,19.45853537,-2.358952431,0.960600501,8.10262,0.597761449,13.31898157,0.169898202,8.285660474,0.199222152,10.747,0.166172,-0.040268,-0.473882175,-0.040284,66.05250879,8.29972,9.918,20.07,1034.06406,347.77,14.59283,0.165166,16.52557259,-13.12378,671.69292,20.068,6.659490784,6.71,0.473882175,0.72637509,0.006967378,0.13142184,1.557768,-0.00617347,0.933748953,29.34431,18.47172,9.58510942
L170,1,22.31536915,2.500126127,4,29.7066049,-41.67021,2,-41.26623,2.48375465,-41.81476,6,11.79549069,24.29161443,19.45853537,-2.358952683,0.942652316,8.1551,0.260959767,13.39324775,0.169897871,8.539957711,0.199222152,10.146,0.184539,-0.037735,-0.473882175,-0.027853,66.7614179,8.43978,9.512,20.181,1153.40193,408.06,14.57419,0.184479,16.5255827,-13.1256,723.76763,20.179,6.696623873,2.99,0.473882175,0.71212455,0.01077606,0.14347644,2.047927,-0.00826483,0.994529864,28.87243,17.89048,14.34070902
L171,1,22.31536915,2.500440045,4,29.7066049,-41.69604,2,-41.24776,2.487298273,-41.7485,12,11.79549069,24.29161443,19.45853537,-2.358952547,0.874529224,8.09923,0.622550199,13.50457026,0.169897686,9.917569121,0.199222152,10.627,0.164093,-0.040686,-0.473882175,-0.040629,87.59740565,8.45023,10.983,19.857,1132.2681,377.51,14.61771,0.164102,16.5255942,-13.11588,771.81057,19.854,6.752285129,3.56,0.473882175,0.72038998,0.019040877,0.14213988,1.57048,-0.0073595,0.934271196,29.5115,18.66836,9.514125848
L2,1,35.1570124,2.543433144,4,29.7066049,-41.92784,2,-41.46053,2.485814624,-42.05832,6,0.0,24.29161443,19.45853537,-2.450375955,1.284807248,8.05051,1.189726859,13.7419624,0.16189409,7.010200267,0.200504992,8.203,0.220486,-0.042409,-0.473850192,-0.005786,33.38070895,8.44973,8.103,15.683,874.93558,294.32,14.798,0.212548,16.52581703,-13.12681,571.57527,15.813,6.870981198,8.71,0.473850192,0.71063789,0.017917098,0.10619146,1.452927,-0.00023371,0.955930757,29.07158,19.51188,7.055825323
L8,1,43.97533103,2.501195214,4,29.7066049,-41.52638,2,-41.04151,2.484284747,-41.532,6,11.79549069,45.95157631,19.45853537,-2.358952773,1.083098082,8.18314,0.100249688,13.506294,0.169896523,8.676009331,0.199222152,10.523,0.188677,-0.036982,-0.473882175,-0.02216,66.7614179,8.45619,12.426,20.321,1477.85459,599.08,14.73128,0.190784,16.52559794,-13.26352,796.00115,20.32,6.753147002,4.07,0.473882175,0.62157129,0.002584567,0.150773,2.278463,-0.00859341,0.965551649,28.8894,17.70549,15.38849033
L9,1,43.97533103,2.612052234,5,29.7066049,-40.43152,3,-39.98139,2.568582842,-40.53821,6,11.79549069,51.36656678,19.45853537,-2.29557659,1.008030562,8.14109,0.100591998,13.631294,0.179176749,9.084079977,0.199805817,9.814,0.187935,-0.036403,-0.473867111,-0.02277,66.7614179,8.39557,13.36,19.417,1556.50708,561.82,14.81929,0.188722,16.52664244,-13.15085,793.98527,19.422,6.815647002,4.6,0.473867111,0.65256816,0.015692943,0.17944099,1.604806,-0.0085668,0.989250051,30.31763,18.63578,15.8516392
L93,1,22.31536915,2.568940092,5,29.7066049,-41.37147,3,-40.94282,2.53025468,-41.25377,6,11.79549069,29.7066049,19.45853537,-2.463894241,1.248875093,8.10307,0.245153013,12.93664777,0.134808736,5.714663017,0.199804125,8.211,0.227808,-0.040509,-0.473867123,-0.004556,28.67462759,8.32653,7.9,15.743,722.2136,235.56,14.76082,0.230348,16.52595909,-13.20211,431.39365,15.741,6.468323885,8.71,0.473867123,0.83825914,0.144355327,0.08741266,1.221011,-0.0012672,0.958653026,29.23819,17.9101,5.194143202
L94,1,22.31536915,2.550941314,5,29.7066049,-40.49589,3,-40.18786,2.515121054,-41.81498,6,11.79549069,29.7066049,19.45853537,-2.389174903,1.269975034,7.96149,0.426790347,13.09664777,0.16366771,6.162886322,0.199804112,8.092,0.225912,-0.041171,-0.473867123,-0.004416,35.09544921,8.3554,7.87,15.695,709.3447,244.1,14.75434,0.230525,16.52582274,-13.19814,445.42027,15.7,6.548323885,6.77,0.473867123,0.79481221,0.139725698,0.0928663,1.24783,-0.00124652,0.969784973,29.244,18.13647,5.178376479
L96,1,35.1570124,2.564213883,5,29.7066049,-41.55819,3,-41.1709,2.50639952,-41.60585,7,0.0,24.29161443,19.45853537,-2.421296394,1.236820348,8.14917,1.707547584,13.35909675,0.164445988,6.674200144,0.200505366,8.233,0.226126,-0.040351,-0.47385019,-0.004442,33.38070895,8.29167,7.779,15.793,783.8636,260.61,14.74116,0.225221,16.52584409,-13.19351,493.46321,15.789,6.679548375,4.29,0.47385019,0.75460179,0.082422221,0.09314759,1.372254,-0.00049214,0.9591279,29.25817,18.60416,7.600218042
L97,1,28.73619078,2.51851882,4,29.7066049,-42.11295,2,-41.695,2.472360942,-41.44242,6,11.79549069,24.29161443,19.45853537,-2.405799856,1.290910358,8.08521,3.159434285,13.19680508,0.166174559,5.984267854,0.199862951,8.214,0.226259,-0.037455,-0.473866202,-0.007533,27.81725746,8.34663,8.451,16.121,782.40203,246.73,14.78468,0.224748,16.52566638,-13.19504,495.47909,16.118,6.598402542,7.69,0.473866202,0.79911392,0.063451027,0.10353037,1.462513,-0.00252854,0.981312393,29.62494,19.04903,5.965763977
L99,1,22.31536915,2.538836855,5,29.7066049,-41.60006,3,-41.28823,2.502973901,-42.06002,6,11.79549069,29.7066049,19.45853537,-2.409707776,1.287352881,7.99141,0.54760273,13.31886999,0.157481288,6.516439713,0.199804112,8.127,0.225962,-0.040253,-0.473867123,-0.009772,47.93709246,8.47501,7.105,15.697,715.3027,276.86,14.57956,0.223644,16.52578809,-13.2025,473.4735,15.701,6.659434996,5.35,0.473867123,0.76912873,0.132922977,0.08331582,1.489565,-0.00050602,0.965731512,28.74999,18.33868,5.165773598
